band,n,model_ll,kalshi_ll,model_acc,kalshi_acc,mean_diff
0-5%,120,0.5538033270288345,0.552145208526625,0.725,0.7083333333333334,0.022678304029007758
5-10%,80,0.6007876430817687,0.5966599565187375,0.675,0.6625,0.0750380427055061
10-20%,66,0.6697900316397476,0.6804317000691837,0.6818181818181818,0.5,0.1412916501950134
20%+,30,0.7496277081835735,0.7388480729601451,0.5,0.5,0.2743051649431388
