market,n,agree,disagree,pct_disagree,model_right_when_disagree,market_right_when_disagree,joint_accuracy_when_agree
Kalshi,296,245,51,0.17229729729729729,0.6470588235294118,0.35294117647058826,0.6857142857142857
Polymarket,221,179,42,0.19004524886877827,0.5714285714285714,0.42857142857142855,0.6927374301675978
