drift_class,lead_class,trades,hit_rate,mean_edge,mean_drift_T8_entry,mean_log_return,mean_closing_move
favorable late drift,not-late (>T-4h),41,0.34146341463414637,0.14185673699146362,0.02000000000000001,0.022531065802904877,-0.014024390243902448
flat,not-late (>T-4h),29,0.3793103448275862,0.12837825599415548,-0.0008620689655172259,0.008880868433741218,0.00568965517241379
adverse late drift,late (<=T-4h),16,0.3125,0.10241839516907929,-0.0609375,-0.0112328635940562,0.005312500000000001
adverse late drift,not-late (>T-4h),47,0.5106382978723404,0.1419070514402491,-0.015106382978723399,0.026574466189043296,0.016276595744680846
