execution,observed_terminal_wealth,bootstrap_mean,bootstrap_median,p05,p25,p75,p95,pr_above_start,pr_above_observed_ideal
Ideal,58245.690755725045,424447.9188177551,56149.9319883335,2321.99442644172,14982.557088133282,217337.75289442507,1580719.5806034843,0.8926,0.4922
Liquidity-constrained,45276.14912586085,161935.37202145887,43472.96787336188,3669.520001259319,15679.842046999815,130525.98868814984,618865.0811957425,0.9215,0.4269
