starting_bankroll,intended_trades,executed_trades,fully_fillable,partially_fillable,mean_fill_rate,median_fill_rate,ideal_terminal_wealth,liq_constrained_terminal_wealth,ideal_return,liq_constrained_return,return_haircut
100,134,134,130,4,0.9810394132639654,1.0,1161.7857918235013,2646.6494568578446,10.617857918235012,25.466494568578447,-1.398458781864327
500,134,134,121,13,0.9477839968545914,1.0,5821.901454192583,9940.246835380403,10.643802908385165,18.880493670760806,-0.7738484856654753
1000,134,134,114,20,0.9168114444166996,1.0,11646.604187363397,15391.292499872925,10.646604187363396,14.391292499872925,-0.3517260759026012
2500,134,134,91,43,0.8436465243183007,1.0,29121.331158046494,34024.10858341708,10.648532463218597,12.609643433366832,-0.1841672528042869
5000,134,134,84,50,0.7944249654157632,1.0,58245.690755725045,45276.14912586085,10.649138151145008,8.05522982517217,0.24357917881776553
7500,134,134,79,55,0.7554419835585383,1.0,87370.33839564388,57114.978021530864,10.649378452752517,6.615330402870782,0.3788059620361285
10000,134,134,71,63,0.7149577267435425,1.0,116494.4461710304,67734.8831490053,10.64944461710304,5.77348831490053,0.4578601492862557
