partition,model,n_trades,hit_rate,total_pnl,mean_pnl,mean_kelly_f,mean_edge,mean_log_ret
shared,full_model,111,0.35135135135135137,-1.2412530066265788,-0.011182459519158368,0.21123855260158006,0.13613978118778347,0.012002615403596944
shared,elo,111,0.35135135135135137,209.52958679573845,1.8876539350967427,0.21629870606492707,0.14345856033262858,0.010865237080553796
fm_only,full_model,23,0.6521739130434783,1063.027044830127,46.21856716652726,0.24824926312830745,0.12276444037323411,0.048706655662826844
elo_only,elo,44,0.3181818181818182,207.44259762143233,4.714604491396189,0.12016937791974137,0.08652718357271527,0.009926762937056117
