game_id,game_ts,side,edge,wager,wager_pct,bankroll_before,binding,rolling_cap,cumulative_cap,allowed_dollars,n_contracts,fill_pct,won,pnl
d1bd5e4c-1d9e-47c6-b24e-52544a1a2c13,2025-05-22 23:30:00+00:00,YES,0.1870525527000427,159.50999999999993,0.031901999999999986,5000.0,rolling_liq,159.50999999999993,311.232,159.50999999999993,458.4285714285713,1.0,0,-166.79999999999993
92c4a40c-74f4-4a28-be37-18237fca81a5,2025-05-23 23:30:00+00:00,NO,0.0993167614936828,57.8325,0.011823224169158226,4891.43225,rolling_liq,57.8325,115.665,57.8325,722.9062499999999,1.0,0,-61.56249999999999
b8786c5b-6a05-49e0-9ba2-0bc7db3e8a60,2025-05-24 02:00:00+00:00,NO,0.0898029375076293,131.1855,0.02714257634693371,4833.2,rolling_liq,131.1855,262.371,131.1855,1394.0549999999998,1.0,0,-139.50549999999998
a35a38a3-fdb6-40a3-86f1-842d77ac32bf,2025-05-24 02:00:00+00:00,NO,0.3237735605239868,38.091,0.008115355611661561,4693.6945,rolling_liq,38.091,76.182,38.091,238.06875,1.0,1,197.73775
10582ee6-a493-4e18-9878-6203b5e8065d,2025-05-24 02:00:00+00:00,NO,0.0866448616981506,152.49299999999997,0.031572901111877806,4829.86975,rolling_liq,152.49299999999997,304.98599999999993,152.49299999999997,508.7433333333332,1.0,0,-159.97299999999996
b0d98920-a05f-481d-9dea-7046f3e6fc33,2025-05-25 19:00:00+00:00,NO,0.1993265843391418,146.769,0.03142874625654197,4669.89675,rolling_liq,146.769,293.538,146.769,733.845,1.0,0,-154.989
bbd4ae77-444a-4dfe-ad87-70233844aa1d,2025-05-25 22:00:00+00:00,NO,0.1071816420555115,54.91499999999999,0.012163039211598507,4514.90775,rolling_liq,54.91499999999999,109.82999999999998,54.91499999999999,170.0151515151515,1.0,0,-57.52499999999999
5f3d74e1-8cdd-4616-aedf-f1e90dc75db0,2025-05-27 23:00:00+00:00,NO,0.0740113401412964,68.42699999999999,0.015351385294430904,4457.382750000001,rolling_liq,68.42699999999999,136.85399999999998,68.42699999999999,984.2428571428568,1.0,0,-72.88699999999999
8a594783-4b88-43cd-b381-a8660e3a0766,2025-05-27 23:00:00+00:00,YES,0.3129020285606384,241.9695,0.05518753211244416,4384.495750000001,rolling_liq,241.9695,478.2389999999999,241.9695,653.9716216216216,1.0,0,-252.6495
ee675eed-ef15-494e-a8f4-e0202373e26c,2025-05-28 00:00:00+00:00,NO,0.0817390298843383,50.05649999999999,0.012114802190425161,4131.8462500000005,rolling_liq,50.05649999999999,100.113,50.05649999999999,200.226,1.0,0,-52.6865
