method,label,train_start_2025,oof_mean_log_loss,oof_min_log_loss,oof_max_log_loss,holdout_log_loss_2025
extend_2015,Extend (2015->),2015,0.599442941396753,0.588709637749188,0.6096517562587995,0.6121478496645066
extend_2018,Extend (2018->),2018,0.604091938693084,0.592638164433659,0.6180144146794524,0.6144924011605956
roll_2yr,Rolling 2-year,2023,0.6016952253718235,0.5959193257650257,0.6127476118227211,0.6167560968375272
roll_3yr,Rolling 3-year,2022,0.6039972311850775,0.5947325847873578,0.6180144146794524,0.6171407070620216
