max_exposure_pct,label,trades,hit_rate,total_return,final_bankroll,max_drawdown,mean_log_return,std_log_return,sharpe_per_trade,mean_fill_rate,mean_intended_wager_pct,mean_realized_wager_pct,share_trades_cap_bound
,Uncapped,134,0.40298507462686567,8.05522982517218,45276.1491258609,30838.20813831334,0.016442854268934836,0.13636321396257411,0.12058130481911125,0.7944249654157631,0.10879556862211365,0.07715273083717067,0.0
6.0,6% cap,134,0.40298507462686567,2.7336912191132083,18668.45609556604,11521.774822328181,0.00983132348732024,0.08785050169550566,0.11190970225071804,0.8938980460712685,0.05559554336469271,0.04536386040879605,0.7164179104477612
8.0,8% cap,134,0.40298507462686567,3.779915099384066,23899.57549692033,16751.518112217207,0.011674796900824574,0.10189769194224116,0.11457371289079069,0.8696723413074373,0.06833086969440859,0.05462895512472832,0.5671641791044776
10.0,10% cap,134,0.40298507462686567,5.0141150008356945,30070.575004178474,21407.08487057978,0.013388874675903155,0.11178349674555216,0.11977505683490704,0.8445240367492259,0.07862768887067118,0.061320964182861495,0.4701492537313433
12.0,12% cap,134,0.40298507462686567,6.381876395786743,36909.381978933714,27495.653260156825,0.014918118361693369,0.11967422673882494,0.12465606645823937,0.8238384414405066,0.08696949257247645,0.06631899475438935,0.3582089552238806
15.0,15% cap,134,0.40298507462686567,7.137313294180405,40686.56647090203,29801.38844300909,0.01564522435367129,0.1271437282342538,0.12305148331694359,0.8074388583826165,0.09528714272330885,0.07089571308869926,0.208955223880597
