policy,game_id,game_ts,entry_ts,side,edge,kelly_f,cap_pct_used,wager_kelly,wager_post_portfolio,rolling_cap,cumulative_cap,allowed_dollars,wager,n_contracts,fill_pct,entry_px_actual,binding,visible_pool,recent_pool,cumulative_pool,fee,pnl,won,bankroll,bankroll_before
static_12,d1bd5e4c-1d9e-47c6-b24e-52544a1a2c13,2025-05-22 23:30:00+00:00,2025-05-22 13:00:00+00:00,YES,0.18705255270004273,0.2969088138095916,0.12,742.2720345239791,600.0,159.50999999999993,311.232,159.50999999999993,159.50999999999993,458.4285714285713,1.0,0.3479495169834839,rolling_liq,1037.44,1063.3999999999996,1037.44,7.29,-166.79999999999993,0,4833.2,5000.0
static_12,b8786c5b-6a05-49e0-9ba2-0bc7db3e8a60,2025-05-24 02:00:00+00:00,2025-05-23 12:30:00+00:00,NO,0.08980293750762935,0.10819631025015586,0.12,261.46720335052663,261.46720335052663,131.1855,262.371,131.1855,131.1855,1394.0549999999998,1.0,0.09410353250051111,rolling_liq,874.5699999999999,874.5699999999999,874.5699999999999,8.32,-139.50549999999998,0,4693.6945,4833.2
static_12,a35a38a3-fdb6-40a3-86f1-842d77ac32bf,2025-05-24 02:00:00+00:00,2025-05-23 12:30:00+00:00,NO,0.32377356052398687,0.3997204450913418,0.12,938.0828273313914,563.2433399999999,38.091,76.182,38.091,38.091,238.06875,1.0,0.16,rolling_liq,253.94,253.94,253.94,2.24,197.73774999999998,1,4891.43225,4693.6945
static_12,92c4a40c-74f4-4a28-be37-18237fca81a5,2025-05-23 23:30:00+00:00,2025-05-23 12:30:00+00:00,NO,0.09931676149368285,0.11548460638800331,0.12,282.4425640324177,282.4425640324177,57.832499999999996,115.66499999999999,57.832499999999996,57.832499999999996,722.9062499999999,1.0,0.08,rolling_liq,385.55,385.55,385.55,3.73,-61.56249999999999,0,4829.86975,4891.43225
static_12,10582ee6-a493-4e18-9878-6203b5e8065d,2025-05-24 02:00:00+00:00,2025-05-23 12:30:00+00:00,NO,0.08664486169815067,0.13128009348204644,0.12,317.0328761430541,317.0328761430541,152.49299999999997,304.98599999999993,152.49299999999997,152.49299999999997,508.7433333333332,1.0,0.29974446839598223,rolling_liq,1016.6199999999999,1016.6199999999999,1016.6199999999999,7.48,-159.97299999999996,0,4669.89675,4829.86975
static_12,b0d98920-a05f-481d-9dea-7046f3e6fc33,2025-05-25 19:00:00+00:00,2025-05-25 05:00:00+00:00,NO,0.19932658433914185,0.26227182149887085,0.12,612.3911634170786,560.38761,146.769,293.538,146.769,146.769,733.845,1.0,0.2,rolling_liq,978.4600000000002,978.4600000000002,978.4600000000002,8.22,-154.989,0,4514.90775,4669.89675
static_12,bbd4ae77-444a-4dfe-ad87-70233844aa1d,2025-05-25 22:00:00+00:00,2025-05-25 14:00:00+00:00,NO,0.1071816420555115,0.1623964273568356,0.12,366.60244422284455,366.60244422284455,54.91499999999999,109.82999999999998,54.91499999999999,54.91499999999999,170.0151515151515,1.0,0.32300062383031813,rolling_liq,366.09999999999997,366.09999999999997,366.09999999999997,2.61,-57.52499999999999,0,4457.382750000001,4514.90775
static_12,5f3d74e1-8cdd-4616-aedf-f1e90dc75db0,2025-05-27 23:00:00+00:00,2025-05-27 05:45:00+00:00,NO,0.0740113401412964,0.08315880914752405,0.12,185.335320702358,185.335320702358,68.42699999999999,136.85399999999998,68.42699999999999,68.42699999999999,984.2428571428569,1.0,0.06952247557948824,rolling_liq,456.18,456.18,456.18,4.46,-72.88699999999999,0,4384.495750000001,4457.382750000001
static_12,8a594783-4b88-43cd-b381-a8660e3a0766,2025-05-27 23:00:00+00:00,2025-05-27 13:00:00+00:00,YES,0.3129020285606384,0.5046806912268361,0.12,1106.3851728955628,526.1394900000001,241.96949999999998,478.2389999999999,241.96949999999998,241.96949999999998,653.9716216216216,1.0,0.37,rolling_liq,1594.1299999999999,1613.1299999999999,1594.1299999999999,10.68,-252.6495,0,4131.8462500000005,4384.495750000001
static_12,ee675eed-ef15-494e-a8f4-e0202373e26c,2025-05-28 00:00:00+00:00,2025-05-27 13:00:00+00:00,NO,0.08173902988433834,0.11512539420329344,0.12,237.84021415932492,237.84021415932492,50.05649999999999,100.11299999999999,50.05649999999999,50.05649999999999,200.22599999999997,1.0,0.25,rolling_liq,333.71,333.71,333.71,2.63,-52.686499999999995,0,4079.1597500000007,4131.8462500000005
static_12,a17fdde4-604b-4197-8c9a-97dc9b78c44e,2025-05-29 23:00:00+00:00,2025-05-29 13:00:00+00:00,NO,0.09309141159057621,0.10118631694627848,0.12,206.3775756690011,206.3775756690011,15.528,31.056,15.528,15.528,226.97142857142856,1.0,0.06841389728096678,rolling_liq,103.52000000000001,103.52000000000001,103.52000000000001,1.02,-16.548000000000002,0,4062.611750000001,4079.1597500000007
static_12,1d299098-034f-480d-af99-bcebd640859e,2025-05-30 23:30:00+00:00,2025-05-30 12:15:00+00:00,NO,0.07657644748687742,0.0900899382198558,0.12,183.00022078438016,183.00022078438016,45.357000000000006,53.55600000000001,45.357000000000006,45.357000000000006,356.6692307692308,1.0,0.1271682446567602,rolling_liq,302.38000000000005,302.38000000000005,178.52000000000004,2.78,308.5322307692308,1,4371.143980769231,4062.611750000001
static_12,c9d9dbf0-f3e6-4f3f-b2a5-e83fe165023d,2025-06-01 22:00:00+00:00,2025-06-01 05:15:00+00:00,NO,0.14538862824440002,0.23449778749096778,0.12,512.5117961474231,512.5117961474231,242.52899999999997,484.30199999999996,242.52899999999997,242.52899999999997,692.94,1.0,0.3499999999999999,rolling_liq,1616.86,1616.86,1614.34,11.04,439.37100000000004,1,4810.514980769231,4371.143980769231
static_12,9998a61a-229c-44c2-b892-ee5b1ea16c23,2025-06-02 00:30:00+00:00,2025-06-01 12:15:00+00:00,YES,0.0670652312040329,0.08178686732199134,0.12,196.7184752413124,196.7184752413124,447.516,892.0079999999999,196.7184752413124,196.7184752413124,1391.4565016087492,1.0,0.14137594313144103,kelly,2983.44,2983.44,2973.3599999999997,11.83,-208.54847524131242,0,4601.966505527919,4810.514980769231
static_12,272d53ae-a46b-43bc-ac0f-8a846e03a9d1,2025-06-04 00:00:00+00:00,2025-06-03 12:30:00+00:00,NO,0.12299813508987423,0.14819052420466775,0.12,340.9839144132527,340.9839144132527,108.41550000000001,212.466,108.41550000000001,108.41550000000001,840.1192307692309,1.0,0.12904775421071185,rolling_liq,708.22,722.7700000000001,708.22,6.61,-115.02550000000001,0,4486.9410055279195,4601.966505527919
static_12,f8baaf5b-f1fa-4923-9eec-e85ed7a82142,2025-06-05 23:30:00+00:00,2025-06-05 06:15:00+00:00,YES,0.0730656540393829,0.08496006283649174,0.12,190.60539488664173,190.60539488664173,83.66400000000002,167.32800000000003,83.66400000000002,83.66400000000002,707.2833333333334,1.0,0.11828922873907205,rolling_liq,557.7600000000001,557.7600000000001,557.7600000000001,5.17,-88.83400000000002,0,4398.10700552792,4486.9410055279195
static_12,45eb60bf-a1b9-4f49-90cb-62097ff47bbd,2025-06-06 02:00:00+00:00,2025-06-05 13:00:00+00:00,NO,0.1447575712203979,0.20979358147883756,0.12,461.34731020843395,461.34731020843395,399.006,786.7619999999998,399.006,399.006,1390.055172413793,1.0,0.28704328282677943,rolling_liq,2622.5399999999995,2660.04,2622.5399999999995,19.92,-418.926,0,3979.1810055279198,4398.10700552792
static_12,772cef5b-3110-4eaf-a68b-6eb3cd04f42a,2025-06-06 23:30:00+00:00,2025-06-06 12:15:00+00:00,YES,0.1407347512245178,0.18277240418768548,0.12,363.64223953915484,363.64223953915484,331.155,662.31,331.155,331.155,1794.2894736842104,1.0,0.18456052095097017,rolling_liq,2207.7,2207.7,2207.7,18.91,1444.2244736842104,1,5423.40547921213,3979.1810055279198
static_12,8b0ee0bd-54cf-4be2-a8ba-b16813be20b6,2025-06-07 19:00:00+00:00,2025-06-07 04:30:00+00:00,YES,0.1381078326702118,0.1644140865121569,0.12,445.8421288248444,445.8421288248444,266.2004999999999,446.43300000000005,266.2004999999999,266.2004999999999,1847.136666666666,1.0,0.14411521616339523,rolling_liq,1761.71,1774.6699999999996,1488.1100000000001,15.95,1564.9861666666661,1,6988.391645878795,5423.40547921213
static_12,639e72ff-50dd-401b-a2a8-dd49fdd02b89,2025-06-08 02:00:00+00:00,2025-06-07 12:15:00+00:00,YES,0.13786698698997496,0.20577162237309699,0.12,719.0063433755386,719.0063433755386,232.88249999999994,459.045,232.88249999999994,232.88249999999994,727.7578124999998,1.0,0.32,rolling_liq,1552.5499999999997,1552.5499999999997,1530.15,11.09,-243.97249999999994,0,6744.4191458787955,6988.391645878795
