edge_bucket,n,hit_rate,mean_pnl,total_pnl,model
5–10%,61,0.2459016393442623,1.5040808150646074,91.74892971894106,elo
10–15%,48,0.3333333333333333,-1.8894095018911343,-90.69165609077444,elo
15–20%,31,0.45161290322580644,2.1993187044175313,68.17887983694347,elo
20–30%,13,0.46153846153846156,7.0950009086473536,92.23501181241559,elo
30%+,2,1.0,127.75050956982247,255.50101913964494,elo
5–10%,48,0.22916666666666666,-4.474863791648145,-214.79346199911097,full_model
10–15%,43,0.46511627906976744,36.95339466102923,1588.995970424257,full_model
15–20%,25,0.56,6.990571256266706,174.76428140666764,full_model
20–30%,15,0.4666666666666667,-54.21130413337905,-813.1695620006858,full_model
30%+,3,0.6666666666666666,108.66285466412411,325.98856399237235,full_model
