starting_bankroll,total_trades,fully_fillable,partially_fillable,unfillable,pct_fully_fillable,pct_partially_fillable,pct_unfillable,mean_fill_rate,median_fill_rate
100,134,131,3,0,0.9776119402985075,0.022388059701492536,0.0,0.9849816357261273,1.0
500,134,124,10,0,0.9253731343283582,0.07462686567164178,0.0,0.9545607417035816,1.0
1000,134,108,26,0,0.8059701492537313,0.19402985074626866,0.0,0.9106707867826123,1.0
2500,134,82,52,0,0.6119402985074627,0.3880597014925373,0.0,0.7758766154765895,1.0
5000,134,74,60,0,0.5522388059701493,0.44776119402985076,0.0,0.6763632455750659,1.0
7500,134,64,70,0,0.47761194029850745,0.5223880597014925,0.0,0.6231136348854219,0.874377962119829
10000,134,60,74,0,0.44776119402985076,0.5522388059701493,0.0,0.580468795587596,0.655782214743289
