config,cutoff_hours,intended_entries,trades,skipped_no_window,skipped_no_qual,hit_rate,total_return,final_bankroll,max_drawdown,mean_log_return,std_log_return,sharpe_per_trade,mean_fill_rate,median_fill_rate,median_lead_h,min_lead_h
Baseline (no cutoff),0,134,134,0,162,0.40298507462686567,8.05522982517218,45276.1491258609,30838.20813831334,0.016442854268934836,0.13636321396257411,0.12058130481911125,0.7944249654157631,1.0,13.5,0.0
T-3h cutoff,3,121,121,2,173,0.4214876033057851,9.626815988927914,53134.07994463957,33718.70664858492,0.019532071213313074,0.13853317345756838,0.14099201458988878,0.7820532907211841,1.0,14.0,3.0
