execution_assumption,trades,mean_fill_rate,median_fill_rate,hit_rate,terminal_wealth,return,avg_intended_stake,avg_realized_stake
Ideal (infinite liquidity),134,1.0,1.0,0.40298507462686567,58245.690755725045,10.649138151145008,5492.13023684268,5492.13023684268
Sweep (buy ≤ entry price),134,0.7944249654157632,1.0,0.40298507462686567,45276.14912586085,8.05522982517217,2272.4044261187696,1434.6911291724011
Limit order (exact price),84,0.49189865692366236,0.37826116985449154,0.44047619047619047,35000.69956441907,6.000139912883814,2184.58914943266,765.5676859464353
