game_id,entry_ts,game_ts,side,edge,won,wager_ideal_unc,wager_unc,pnl_unc,bankroll_unc,log_ret_unc,wager_ideal_cap,wager_cap,pnl_cap,bankroll_cap,log_ret_cap,cap_binding,delta_log_ret,cap_pct,game_date,month
d1bd5e4c-1d9e-47c6-b24e-52544a1a2c13,2025-05-22 13:00:00+00:00,2025-05-22 23:30:00+00:00,YES,0.18705255270004273,0,742.2720345239791,723.7920345239792,-756.1820345239792,4243.817965476021,-0.16397458480866486,300.0,285.2318918918919,-298.1818918918919,4701.818108108108,-0.06148864700574408,True,-0.10248593780292078,6.0,2025-05-22,2025-05
92c4a40c-74f4-4a28-be37-18237fca81a5,2025-05-23 12:30:00+00:00,2025-05-23 23:30:00+00:00,NO,0.09931676149368285,0,313.0250274514703,182.8703747902309,-194.6303747902309,5226.438930321722,-0.036562931458636386,331.74370035479865,194.90380737094196,-207.43380737094196,5537.811567414534,-0.03677322262008714,False,0.00021029116145075688,6.0,2025-05-23,2025-05
b8786c5b-6a05-49e0-9ba2-0bc7db3e8a60,2025-05-23 12:30:00+00:00,2025-05-24 02:00:00+00:00,NO,0.08980293750762935,0,229.58272261891437,126.82866036406726,-134.87866036406726,4108.939305111953,-0.03229840903988922,254.35968538233288,141.40334434254873,-150.37334434254873,4551.444763765559,-0.032504552369711476,False,0.0002061433298222587,6.0,2025-05-24,2025-05
10582ee6-a493-4e18-9878-6203b5e8065d,2025-05-23 12:30:00+00:00,2025-05-24 02:00:00+00:00,NO,0.08664486169815067,0,343.06369567542123,302.59336958641353,-317.4233695864135,4909.015560735309,-0.06265672839108515,332.268694044872,293.0482594513577,-307.4182594513577,5230.393307963176,-0.05711292124759569,True,-0.005543807143489454,6.0,2025-05-24,2025-05
a35a38a3-fdb6-40a3-86f1-842d77ac32bf,2025-05-23 12:30:00+00:00,2025-05-24 02:00:00+00:00,NO,0.32377356052398687,1,821.2135239463294,253.94,1312.1299999999999,5421.069305111953,0.2771281661731823,273.08668582593356,229.96773543236515,1193.8006110199171,5745.245374785476,0.23292790834573338,True,0.044200257827448935,6.0,2025-05-24,2025-05
b0d98920-a05f-481d-9dea-7046f3e6fc33,2025-05-25 05:00:00+00:00,2025-05-25 19:00:00+00:00,NO,0.19932658433914185,0,643.7482264401751,555.4925409034939,-586.332540903494,4322.683019831815,-0.12719714603126134,313.82359847779054,261.5196653981588,-276.16966539815877,4954.223642565017,-0.054246003652182566,True,-0.07295114237907876,6.0,2025-05-25,2025-05
5a9dfeb9-11f2-42a8-97c9-81e381c4a9fa,2025-05-25 18:00:00+00:00,2025-05-25 22:00:00+00:00,YES,0.08779297590255736,1,259.92304483179004,40.59,80.5,4047.7522373678066,0.020088000508122747,279.20357829693853,40.59,80.5,4733.892971615643,0.017151277556238263,True,0.0029367229518844837,6.0,2025-05-25,2025-05
bbd4ae77-444a-4dfe-ad87-70233844aa1d,2025-05-25 14:00:00+00:00,2025-05-25 22:00:00+00:00,NO,0.1071816420555115,0,350.99413950837203,339.48078246400814,-355.43078246400813,3967.2522373678066,-0.08580255545772109,297.25341855390104,287.3206709493746,-300.83067094937456,4653.392971615643,-0.06264384905074363,True,-0.023158706406977453,6.0,2025-05-25,2025-05
8a594783-4b88-43cd-b381-a8660e3a0766,2025-05-27 13:00:00+00:00,2025-05-27 23:00:00+00:00,YES,0.3129020285606384,0,992.7498798025426,966.6248829656337,-1009.2548829656337,2924.915363925531,-0.2964344499484366,276.0585574376847,268.79385855774564,-280.65385855774565,4320.3220987370005,-0.06293848625121737,True,-0.23349596369721923,6.0,2025-05-27,2025-05
5f3d74e1-8cdd-4616-aedf-f1e90dc75db0,2025-05-27 05:45:00+00:00,2025-05-27 23:00:00+00:00,NO,0.0740113401412964,0,168.30312789186644,106.63199047664229,-113.58199047664229,3934.1702468911644,-0.02846172912460289,196.83245107569536,124.78701432089704,-132.91701432089704,4600.975957294746,-0.028479456769397685,False,1.772764479479605e-05,6.0,2025-05-27,2025-05
