metric,n,mean,std,min,p05,p25,median,p75,p95,max,share_above_25pct,share_above_50pct,share_above_75pct
share of total window volume,134,0.29409382177800264,0.2916645281072654,0.00010503098414032139,0.026053792971969417,0.08047521079295719,0.17788739555486716,0.3804077930311161,0.9999438153686576,1.0,0.3880597014925373,0.208955223880597,0.1044776119402985
share of qualifying-price volume (<= entry),134,0.558545259095798,0.38549789376094534,0.028216998394036408,0.06240157126601906,0.19174846367754553,0.5007078985358355,1.0,1.0,1.0,0.6268656716417911,0.5,0.41044776119402987
