model,edge_min,norm_min,n_trades,hit_rate,mean_kelly_f,mean_wager,total_fees,final_bankroll,total_return,max_drawdown,mean_log_ret,std_log_ret,median_lead_h
full_model,0.05,0.25,134,0.403,0.2176,109.56,566.31,1161.79,10.6179,2706.17,0.018303,0.173766,13.5
elo,0.05,0.25,155,0.3419,0.189,53.08,366.31,516.97,4.1697,1096.1,0.010599,0.17319,14.8
