engine,trades,hit_rate,total_return,final_bankroll,max_drawdown,mean_log_return,std_log_return,sharpe_per_trade,mean_wager,median_wager,max_wager,mean_wager_pct,median_wager_pct,max_wager_pct,mean_entry_px_actual,mean_fill_ratio
Static (ask-lifts only),100,0.42,8.211256980183832,46056.284900919156,9327.760283590738,0.02220426320887774,0.13171497232146664,0.16857812606668204,840.9109040371252,568.3955697297304,9246.341685237987,0.0629832995391091,0.053600363667766535,0.33074426418727904,0.30442186612797306,0.6421787808899988
Dynamic (ask-lifts only),100,0.42,8.844274118213761,49221.3705910688,11016.159477988316,0.02286889978363557,0.15144791723722167,0.15100174502772915,937.8896576302353,623.6480947719436,10597.086718603538,0.07253143316141164,0.05950099393377785,0.3508840799331665,0.30681508271682684,0.7535693645499231
