persistence_class,trades,hit_rate,mean_edge,mean_lead_h,median_lead_h,mean_log_return,mean_closing_move,mean_first_qual_h,mean_n_snapshots
early_stable,4,1.0,0.11267437636852262,12.625,11.5,0.11291030402282273,0.059999999999999984,12.625,12.0
early_disappeared_then_late,108,0.4074074074074074,0.14066677349585074,14.99074074074074,15.0,0.019353913594924423,0.000879629629629624,14.99074074074074,22.40740740740741
late_only,22,0.2727272727272727,0.10419949079101733,2.590909090909091,1.375,-0.015387336922993645,0.004318181818181818,2.590909090909091,6.0
