band,n,model_ll,poly_ll,model_acc,poly_acc,mean_diff
0-5%,78,0.5172139916691975,0.5221584799954532,0.7435897435897436,0.7692307692307693,0.02662195208235684
5-10%,52,0.6980609341506769,0.6637943909707438,0.6346153846153846,0.5576923076923077,0.07381154361443641
10-20%,63,0.6540583266784409,0.6425957231123939,0.6666666666666666,0.6190476190476191,0.1468694301052068
20%+,28,0.7320783154906036,0.8095287581870105,0.5357142857142857,0.5,0.2845662812924102
