block,model,trades,mean_log_ret,ci_lo,ci_hi,p_positive,p_value_one_sided,p_fm_gt_elo,implied_terminal_wealth
per_model,Elo,155.0,0.01059883151723832,-0.015927956260910175,0.038151607116517154,0.7771,0.2223,,516.9721844171705
per_model,Full Model,134.0,0.018302562612270735,-0.010941016621796532,0.04813346557195748,0.8913,0.111,,1161.7857918235006
difference,Full Model − Elo,,0.007703731095032416,-0.03284244436014044,0.04745031333882357,,0.3552,0.6518,
