cutoff_hours,trades,hit_rate,total_return,final_bankroll,max_drawdown,mean_log_return,std_log_return,sharpe_per_trade,mean_fill_rate,median_lead_h,min_lead_h
0,134,0.40298507462686567,8.05522982517218,45276.1491258609,30838.20813831334,0.016442854268934836,0.13636321396257411,0.12058130481911125,0.7944249654157631,13.5,0.0
1,125,0.416,8.954105676826643,49770.52838413321,30371.133048546915,0.01838388077518926,0.14013426079345156,0.13118762443315599,0.8011560070521989,13.75,1.0
2,122,0.4180327868852459,9.284047094101401,51420.23547050701,33331.53679848088,0.019103228432373567,0.1381470252183732,0.13828186602046996,0.7801265748350501,14.0,2.75
3,121,0.4214876033057851,9.626815988927914,53134.07994463957,33718.70664858492,0.019532071213313074,0.13853317345756838,0.14099201458988878,0.7820532907211841,14.0,3.0
4,119,0.42016806722689076,8.981656587888107,49908.282939440534,35511.71869504067,0.019334025775788067,0.1394100342536965,0.13868460673787847,0.7820256600322257,14.0,4.0
6,116,0.41379310344827586,7.865288918826026,44326.44459413013,34250.76690697911,0.0188115821547519,0.1418789611158692,0.13258894769738921,0.8020422713612722,14.25,6.0
8,112,0.42857142857142855,9.987443613374463,54937.218066872316,36647.75616468571,0.021399581527764007,0.14094258987041963,0.15183190224784746,0.7744073085947932,14.625,8.0
12,83,0.43373493975903615,6.6263588529007045,38131.79426450352,24655.108828884928,0.024477235142559124,0.14597195990241793,0.16768450022128992,0.7528813575170354,16.75,12.0
