policy,label,trades,hit_rate,total_return,final_bankroll,max_drawdown,worst_first10_dd,max_consec_losses_first10,mean_log_return,std_log_return,sharpe_per_trade,mean_fill_rate,mean_realized_wager_pct,share_kelly_binding,share_portfolio_binding,share_rolling_binding,share_cumulative_binding,share_sweepshort_binding
static_12,Static 12%,111,0.43243243243243246,4.673077901793993,28365.389508969965,8537.871222652499,812.2724999999991,7,0.015637223516017984,0.08993344327562804,0.17387551222844896,1.0,0.0402211020582653,0.0990990990990991,0.036036036036036036,0.8558558558558559,0.009009009009009009,0.0
static_15,Static 15%,111,0.43243243243243246,5.151403205047061,30757.016025235305,8602.220551141403,812.2724999999991,7,0.01636648846139998,0.0915622740615303,0.1787470727343624,1.0,0.039411027191095085,0.10810810810810811,0.018018018018018018,0.8648648648648649,0.009009009009009009,0.0
static_20,Static 20%,111,0.43243243243243246,5.220333235016605,31101.666175083028,8615.633036587336,812.2724999999991,7,0.016466878198896615,0.09169737209808522,0.17957851814207518,1.0,0.03928998919902666,0.11711711711711711,0.0,0.8738738738738738,0.009009009009009009,0.0
uncapped,Uncapped,111,0.43243243243243246,5.220333235016605,31101.666175083028,8615.633036587336,812.2724999999991,7,0.016466878198896615,0.09169737209808522,0.17957851814207518,1.0,0.03928998919902666,0.11711711711711711,0.0,0.8738738738738738,0.009009009009009009,0.0
phase_double_then_12,20% until 2x bankroll → 12%,111,0.43243243243243246,4.974959124220796,29874.79562110398,8598.180164132049,812.2724999999991,7,0.016104299609545757,0.09102879075769411,0.17691435287120474,1.0,0.03880775624485884,0.10810810810810811,0.02702702702702703,0.8558558558558559,0.009009009009009009,0.0
phase_10k_then_12,20% until $10k → 12%,111,0.43243243243243246,4.974959124220796,29874.79562110398,8598.180164132049,812.2724999999991,7,0.016104299609545757,0.09102879075769411,0.17691435287120474,1.0,0.03880775624485884,0.10810810810810811,0.02702702702702703,0.8558558558558559,0.009009009009009009,0.0
edge_conditioned,Edge-conditioned 12/15/20,111,0.43243243243243246,5.220333235016605,31101.666175083028,8615.633036587336,812.2724999999991,7,0.016466878198896615,0.09169737209808522,0.17957851814207518,1.0,0.03928998919902666,0.11711711711711711,0.0,0.8738738738738738,0.009009009009009009,0.0
