method,label,n_trades,hit_rate,total_return,final_bankroll,final_bankroll_payout_view,max_drawdown,mean_log_return,std_log_return,sharpe_per_trade,mean_fill_rate
extend_2015,Extend (2015->),134,0.40298507462686567,8.05522982517217,45276.14912586085,45276.149125860866,30838.208138313334,0.016442854268934836,0.13636321396257414,0.12058130481911122,0.7944249654157632
extend_2018,Extend (2018->),137,0.35766423357664234,5.372651859642616,31863.25929821308,31863.259298213066,21698.342972888953,0.013518362682115936,0.14056006816550295,0.0961749866697467,0.8462227511114754
roll_2yr,Rolling 2-year,139,0.35251798561151076,0.9545467871548375,9772.733935774188,9772.733935774177,13307.022220641717,0.004821283051332115,0.14153279013277,0.034064777828581874,0.8582243232212949
roll_3yr,Rolling 3-year,149,0.3422818791946309,1.1490291537080288,10745.145768540144,10745.145768540136,11695.205691056068,0.005134336803640278,0.13916363649545027,0.0368942414335956,0.8416052752725479
