month,n_trades,pnl,hit_rate,model,month_str
2025-05,18,-1.278743798341572,0.2222222222222222,elo,2025-05
2025-06,45,344.3283958561713,0.37777777777777777,elo,2025-06
2025-07,32,151.2160545253697,0.3125,elo,2025-07
2025-08,38,383.49194310444045,0.42105263157894735,elo,2025-08
2025-09,20,-541.2285079749773,0.25,elo,2025-09
2025-10,2,80.443042704508,0.5,elo,2025-10
2025-05,13,-10.483258394788898,0.23076923076923078,full_model,2025-05
2025-06,38,196.00767391873597,0.39473684210526316,full_model,2025-06
2025-07,34,251.62956205396154,0.38235294117647056,full_model,2025-07
2025-08,34,2966.9914233619,0.5882352941176471,full_model,2025-08
2025-09,13,-2484.654656484928,0.15384615384615385,full_model,2025-09
2025-10,2,142.29504736862026,0.5,full_model,2025-10
