game_id,game_ts_static,entry_ts_static,side_static,edge_static,entry_px_static,p_side_static,wager_static,n_contracts_static,entry_px_actual_static,won_static,pnl_static,wager_dynamic,n_contracts_dynamic,entry_px_actual_dynamic,won_dynamic,pnl_dynamic,n_pause_events_dynamic,n_resume_events_dynamic,fill_ratio_vs_qmax_dynamic
01384c8c-e038-4abe-b80a-901c44d112ce,2025-07-03 23:00:00+00:00,2025-07-03 05:45:00+00:00,YES,0.14452980518341063,0.39,0.5345298051834106,930.6091053224371,2658.8831580641063,0.35,1,1685.9240527416691,1096.458445873221,2871.0795864299653,0.3818976147702714,1.0,1727.1711405567441,341.0,1.0,1.2236106419422668
02291b17-b5ee-4973-b184-51149f2c1817,2025-06-28 02:00:00+00:00,2025-06-27 14:00:00+00:00,NO,0.14177390813827517,0.47,0.6117739081382751,843.4030729938066,1834.2458108561011,0.459809185880143,0,-875.3030729938066,809.5075267513994,1725.6177207417145,0.46911173721805105,0.0,-839.5975267513994,33.0,2.0,1.0735876554698378
042c5181-7425-497a-8593-922c0cccfc16,2025-08-08 02:00:00+00:00,2025-08-07 07:00:00+00:00,NO,0.10052478075027471,0.18999999999999995,0.29052478075027466,962.0698783751435,5403.8882131952405,0.17803289787267557,0,-1017.4298783751435,1022.0670981515783,5702.128106580055,0.17924309644536904,0.0,-1080.7970981515782,10.0,3.0,1.2402844683747476
0934f4d6-98dc-4543-b6bd-c04adfa95bf2,2025-08-08 02:00:00+00:00,2025-08-07 07:00:00+00:00,NO,0.14108287811279296,0.38,0.521082878112793,2014.4599999999998,5500.0,0.3662654545454545,0,-2103.83,1929.5738521436353,5272.172573361176,0.36599216457618183,0.0,-2015.2138521436354,4.0,0.0,1.0942180829020436
0962940f-0261-4fce-b716-3a16393d43b7,2025-08-24 20:00:00+00:00,2025-08-24 05:45:00+00:00,NO,0.17109873175621026,0.5700000000000001,0.7410987317562103,6028.200000000002,11290.0,0.5339415411868912,1,5065.129999999998,5718.620000000001,10736.0,0.5326583457526082,1.0,4830.299999999999,0.0,0.0,0.5047782059142643
10582ee6-a493-4e18-9878-6203b5e8065d,2025-05-24 02:00:00+00:00,2025-05-23 12:30:00+00:00,NO,0.08664486169815067,0.33999999999999997,0.42664486169815063,302.59336958641353,1009.0108696335919,0.2998910900695213,0,-317.4233695864135,409.64,1344.0,0.3047916666666667,0.0,-429.58,3.0,1.0,1.4904646612613612
17812353-7592-47dc-9fe1-36f6bb0d8b9d,2025-07-24 02:00:00+00:00,2025-07-23 07:00:00+00:00,NO,0.17903590440750117,0.31000000000000005,0.4890359044075012,914.7519445664857,3568.507479101868,0.2563402066335904,1,2606.1355345353822,1007.0743348623454,3832.684502246355,0.2627595186277645,1.0,2773.6301673840094,105.0,0.0,1.449152426080099
185c1d82-80ca-427a-bb34-b717e2127e2e,2025-07-30 23:00:00+00:00,2025-07-30 05:30:00+00:00,YES,0.15933475494384763,0.4,0.5593347549438477,273.47,685.0,0.3992262773722628,1,400.02,273.47,685.0,0.3992262773722628,1.0,400.02,0.0,0.0,0.20239500495718674
1c528f37-bdd0-449a-99b5-7a8d174e4243,2025-06-26 02:00:00+00:00,2025-06-25 15:45:00+00:00,YES,0.0853763997554779,0.2,0.2853763997554779,280.5624919461159,1405.5624597305796,0.1996086975742754,0,-296.28249194611595,238.86188582571657,1197.059429128583,0.1995405407729837,0.0,-252.25188582571656,22.0,2.0,1.0481586146895756
1d299098-034f-480d-af99-bcebd640859e,2025-05-30 23:30:00+00:00,2025-05-30 12:15:00+00:00,NO,0.07657644748687742,0.15000000000000002,0.22657644748687744,100.6318548400553,781.8604218465792,0.1287082093276769,1,675.0885670065239,107.70496127270604,836.2689328669695,0.12879225454838145,1.0,721.9939715942634,4.0,0.0,1.4350835877438262
