model,metric,n,pearson_r,pearson_p,spearman_r,spearman_p
elo,hit_rate,155,0.19629336691723445,0.014368570579295234,0.18268564158251283,0.022894594338687405
full_model,hit_rate,134,0.254011822629986,0.003060591786942112,0.28280360109224617,0.0009300500008720483
elo,log_ret,155,0.19097360376917705,0.0172982282862211,-0.1917727433856466,0.016827465224049203
full_model,log_ret,134,0.16341615688841868,0.059206135683340065,-0.052072968490878946,0.5501425687332969
