lead_bucket,trades,hit_rate,mean_edge,mean_fill_rate,mean_log_return,mean_closing_move,median_closing_move
T-1 to T-0,9,0.2222222222222222,0.09098397301303016,0.7257089193771544,-0.006623383353294327,-0.0011111111111111122,0.0
T-2 to T-1,3,0.3333333333333333,0.15587417244911192,0.9339905131382013,-0.04731704848803501,-0.001666666666666668,0.0
T-4 to T-2,3,0.3333333333333333,0.08814102411270137,0.6832325916443391,0.0005825925435773519,0.025000000000000022,0.03500000000000003
T-8 to T-4,7,0.2857142857142857,0.10592677865709574,0.7739107417578228,-0.019815370613262606,0.004999999999999992,0.010000000000000009
T-12 to T-8,29,0.41379310344827586,0.12435168332067029,0.9238023200987583,0.007518183968255713,0.00896551724137931,0.0
T-17 to T-12,43,0.4418604651162791,0.14766327377668645,0.7860543800512013,0.04312422885858256,0.0036046511627906854,0.009999999999999898
T-17+,40,0.425,0.14217473635822536,0.7265478739899958,0.01173736770861657,-0.0020000000000000052,0.0
