source,n,log_loss,brier,accuracy,scope
XGB + Elo (model),310,0.6121478496645066,0.21123245391564083,0.6741935483870968,all available
Elo only,310,0.6150979432100196,0.21316524892848046,0.667741935483871,all available
Kalshi pre-tipoff,296,0.6117032295204881,0.21312373310810812,0.6283783783783784,all available
Polymarket pre-tipoff,221,0.6262262694816341,0.21943921018728002,0.6425339366515838,all available
XGB + Elo (model),210,0.6251425740362601,0.21633462570022738,0.6761904761904762,common (n=210)
Elo only,210,0.6282303835419807,0.21905770433707203,0.6619047619047619,common (n=210)
Kalshi pre-tipoff,210,0.6190679845947565,0.21622642857142857,0.6285714285714286,common (n=210)
Polymarket pre-tipoff,210,0.6287110144844146,0.2206281390542328,0.638095238095238,common (n=210)
