game_id,side,entry_px,wager,our_filled,n_needed,total_volume,volume_at_or_below,vol_at_price,fill_pct,share_of_total,share_of_qualifying,won
d1bd5e4c-1d9e-47c6-b24e-52544a1a2c13,YES,0.37,723.7920345239792,2006.1406338485922,2006.1406338485922,4106.0,2924.0,1742.0,1.0,0.48858758739615005,0.6860946080193544,0
b8786c5b-6a05-49e0-9ba2-0bc7db3e8a60,NO,0.17000000000000004,126.82866036406726,1350.4866036406725,1350.4866036406725,8361.0,8361.0,0.0,1.0,0.16152213893561446,0.16152213893561446,0
a35a38a3-fdb6-40a3-86f1-842d77ac32bf,NO,0.18999999999999995,253.94,1581.0,1581.0,1667.0,1581.0,0.0,1.0,0.9484103179364127,1.0,1
92c4a40c-74f4-4a28-be37-18237fca81a5,NO,0.14,182.8703747902309,2235.8930532247878,2235.8930532247878,4369.0,4369.0,10.0,1.0,0.5117631158674268,0.5117631158674268,0
10582ee6-a493-4e18-9878-6203b5e8065d,NO,0.33999999999999997,302.59336958641353,1009.0108696335919,1009.0108696335919,3302.0,3302.0,0.0,1.0,0.3055756722088407,0.3055756722088407,0
b0d98920-a05f-481d-9dea-7046f3e6fc33,NO,0.24,555.4925409034939,2682.2842768340633,2682.2842768340633,6014.0,4535.0,333.0,1.0,0.4460066971789264,0.5914629055863425,0
bbd4ae77-444a-4dfe-ad87-70233844aa1d,NO,0.33999999999999997,339.48078246400814,1032.3357044363884,1032.3357044363884,2819.0,1113.0,0.0,1.0,0.3662063513431672,0.927525340913197,0
5a9dfeb9-11f2-42a8-97c9-81e381c4a9fa,YES,0.33,40.59,123.0,123.0,1131.0,123.0,123.0,1.0,0.10875331564986737,1.0,1
5f3d74e1-8cdd-4616-aedf-f1e90dc75db0,NO,0.10999999999999999,106.63199047664229,1530.0284353806042,1530.0284353806042,6509.0,6509.0,0.0,1.0,0.2350635174958679,0.2350635174958679,0
8a594783-4b88-43cd-b381-a8660e3a0766,YES,0.38,966.6248829656337,2612.4996836909017,2612.4996836909017,7029.0,4350.0,363.0,1.0,0.3716744463922182,0.6005746399289429,0
ee675eed-ef15-494e-a8f4-e0202373e26c,NO,0.29000000000000004,148.2988429545362,580.5724729020624,580.5724729020624,1280.0,1280.0,0.0,1.0,0.4535722444547362,0.4535722444547362,0
a17fdde4-604b-4197-8c9a-97dc9b78c44e,NO,0.07999999999999996,103.51999999999998,1484.0,1484.0,10330.0,1484.0,0.0,1.0,0.1436592449177154,1.0,0
1d299098-034f-480d-af99-bcebd640859e,NO,0.15000000000000002,102.77965918731141,798.3819937485493,798.3819937485493,2215.0,2215.0,0.0,1.0,0.36044333803546247,0.36044333803546247,1
