model,entry_window,edge_min,norm_min,sizing,n_trades,hit_rate,mean_edge,total_fees,total_pnl,median_lead_h,roi,final_bankroll,total_return,max_drawdown,mean_kelly_f,mean_wager
elo,two_thirds_life,0.1,0.0,fixed,124,0.3952,0.1508,6.38,14.99,10.5,0.1209,,,,,
elo,two_thirds_life,0.1,0.0,half_kelly,124,0.3952,0.1508,167.11,129.74,10.5,,229.74,1.2974,504.68,0.241,32.94
elo,two_thirds_life,0.1,0.0,full_kelly,124,0.3952,0.1508,81.49,-90.72,10.5,,9.28,-0.9072,204.04,0.241,15.25
elo,two_thirds_life,0.1,0.1,fixed,124,0.3952,0.1508,6.38,14.99,10.5,0.1209,,,,,
elo,two_thirds_life,0.1,0.1,half_kelly,124,0.3952,0.1508,167.11,129.74,10.5,,229.74,1.2974,504.68,0.241,32.94
elo,two_thirds_life,0.1,0.1,full_kelly,124,0.3952,0.1508,81.49,-90.72,10.5,,9.28,-0.9072,204.04,0.241,15.25
elo,two_thirds_life,0.1,0.2,fixed,121,0.3802,0.1529,6.3,13.69,10.2,0.1132,,,,,
elo,two_thirds_life,0.1,0.2,half_kelly,121,0.3802,0.1529,146.23,86.85,10.2,,186.85,0.8685,434.26,0.2405,28.68
elo,two_thirds_life,0.1,0.2,full_kelly,121,0.3802,0.1529,69.77,-93.95,10.2,,6.05,-0.9395,205.05,0.2405,12.85
elo,two_thirds_life,0.1,0.25,fixed,110,0.3545,0.1578,5.93,12.18,10.4,0.1107,,,,,
elo,two_thirds_life,0.1,0.25,half_kelly,110,0.3545,0.1578,139.52,85.61,10.4,,185.61,0.8561,406.41,0.2382,28.83
elo,two_thirds_life,0.1,0.25,full_kelly,110,0.3545,0.1578,75.34,-92.77,10.4,,7.23,-0.9277,217.98,0.2382,14.77
elo,two_thirds_life,0.15,0.0,fixed,69,0.3913,0.1903,3.67,19.68,10.2,0.2853,,,,,
elo,two_thirds_life,0.15,0.0,half_kelly,69,0.3913,0.1903,138.22,199.93,10.2,,299.93,1.9993,487.32,0.2935,46.86
elo,two_thirds_life,0.15,0.0,full_kelly,69,0.3913,0.1903,116.7,-74.07,10.2,,25.93,-0.7407,451.32,0.2935,37.25
elo,two_thirds_life,0.15,0.1,fixed,69,0.3913,0.1903,3.67,19.68,10.2,0.2853,,,,,
elo,two_thirds_life,0.15,0.1,half_kelly,69,0.3913,0.1903,138.22,199.93,10.2,,299.93,1.9993,487.32,0.2935,46.86
elo,two_thirds_life,0.15,0.1,full_kelly,69,0.3913,0.1903,116.7,-74.07,10.2,,25.93,-0.7407,451.32,0.2935,37.25
elo,two_thirds_life,0.15,0.2,fixed,69,0.3913,0.1903,3.67,19.68,10.2,0.2853,,,,,
elo,two_thirds_life,0.15,0.2,half_kelly,69,0.3913,0.1903,138.22,199.93,10.2,,299.93,1.9993,487.32,0.2935,46.86
elo,two_thirds_life,0.15,0.2,full_kelly,69,0.3913,0.1903,116.7,-74.07,10.2,,25.93,-0.7407,451.32,0.2935,37.25
elo,two_thirds_life,0.15,0.25,fixed,68,0.3971,0.191,3.64,20.76,10.2,0.3053,,,,,
elo,two_thirds_life,0.15,0.25,half_kelly,68,0.3971,0.191,158.18,302.32,10.2,,402.32,3.0232,637.67,0.2913,55.18
elo,two_thirds_life,0.15,0.25,full_kelly,68,0.3971,0.191,144.5,-48.18,10.2,,51.82,-0.4818,434.59,0.2913,48.88
full_model,half_life,0.05,0.0,fixed,205,0.4634,0.1065,9.27,28.3,14.0,0.138,,,,,
full_model,half_life,0.05,0.0,half_kelly,205,0.4634,0.1065,264.34,212.11,14.0,,312.11,2.1211,1148.18,0.2109,39.72
full_model,half_life,0.05,0.0,full_kelly,205,0.4634,0.1065,151.59,-87.9,14.0,,12.1,-0.879,479.75,0.2109,21.57
full_model,half_life,0.05,0.1,fixed,191,0.4398,0.1121,9.0,27.92,14.0,0.1462,,,,,
full_model,half_life,0.05,0.1,half_kelly,191,0.4398,0.1121,218.82,171.94,14.0,,271.94,1.7194,883.57,0.2122,32.57
full_model,half_life,0.05,0.1,full_kelly,191,0.4398,0.1121,113.27,-91.28,14.0,,8.72,-0.9128,334.76,0.2122,15.91
full_model,half_life,0.05,0.2,fixed,154,0.4156,0.1258,7.89,35.08,13.9,0.2278,,,,,
full_model,half_life,0.05,0.2,half_kelly,154,0.4156,0.1258,511.43,721.86,13.9,,821.86,7.2186,2338.51,0.2156,89.54
full_model,half_life,0.05,0.2,full_kelly,154,0.4156,0.1258,668.19,10.53,13.9,,110.53,0.1053,3640.95,0.2156,117.87
full_model,half_life,0.05,0.25,fixed,134,0.403,0.1338,7.11,32.79,13.5,0.2447,,,,,
full_model,half_life,0.05,0.25,half_kelly,134,0.403,0.1338,566.31,1061.79,13.5,,1161.79,10.6179,2706.17,0.2176,109.56
full_model,half_life,0.05,0.25,full_kelly,134,0.403,0.1338,1159.91,206.31,13.5,,306.31,2.0631,6591.75,0.2176,228.34
full_model,half_life,0.1,0.0,fixed,122,0.459,0.1473,5.7,18.44,13.8,0.1512,,,,,
full_model,half_life,0.1,0.0,half_kelly,122,0.459,0.1473,124.11,94.14,13.8,,194.14,0.9414,490.31,0.2747,28.6
full_model,half_life,0.1,0.0,full_kelly,122,0.459,0.1473,55.4,-93.63,13.8,,6.37,-0.9363,182.83,0.2747,11.84
full_model,half_life,0.1,0.1,fixed,122,0.459,0.1473,5.7,18.44,13.8,0.1512,,,,,
full_model,half_life,0.1,0.1,half_kelly,122,0.459,0.1473,124.11,94.14,13.8,,194.14,0.9414,490.31,0.2747,28.6
full_model,half_life,0.1,0.1,full_kelly,122,0.459,0.1473,55.4,-93.63,13.8,,6.37,-0.9363,182.83,0.2747,11.84
