game_id,game_ts,game_date,season,team_id,franchise_id,opponent_team_id,opponent_franchise_id,is_home,is_playoff,days_rest_pre,is_b2b_pre,games_last_4_days_pre,games_last_7_days_pre,origin_city_pre,current_city_pre,travel_miles_pre,timezone_shift_hours_pre,previous_game_id,previous_game_ts,previous_game_city,home_city,origin_rule_used
4ff77d47-fbe6-40fe-94f4-d7a92e036cc2,2019-09-17 22:30:00+00:00,2019-09-17,2019,a015b02d-845c-40c1-8ef4-844984f47e4d,a015b02d-845c-40c1-8ef4-844984f47e4d,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,1,1,8,0,0,0,Uncasville,Uncasville,0.0,0,1b9746ba-eccf-46e6-a5cd-bfc44bb31c92,2019-09-08 20:00:00+00:00,Indianapolis,Uncasville,home_city
4ff77d47-fbe6-40fe-94f4-d7a92e036cc2,2019-09-17 22:30:00+00:00,2019-09-17,2019,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,a015b02d-845c-40c1-8ef4-844984f47e4d,a015b02d-845c-40c1-8ef4-844984f47e4d,0,1,1,0,1,1,Los Angeles,Uncasville,2541.7,3,a10b53c1-5508-4c7d-bf90-c8ce8f448e06,2019-09-15 19:00:00+00:00,Los Angeles,Los Angeles,previous_game_city
7558f483-5bf8-40e3-b2fc-fd5d85b9508c,2019-09-18 00:30:00+00:00,2019-09-17,2019,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,171b097d-01db-4ae8-9d56-035689402ec6,FR_LVA_ACES,1,1,8,0,0,0,Washington,Washington,0.7,0,11ac5679-edaf-4388-85dd-f79ad71d6668,2019-09-08 20:00:00+00:00,Washington,Washington,home_city
7558f483-5bf8-40e3-b2fc-fd5d85b9508c,2019-09-18 00:30:00+00:00,2019-09-17,2019,171b097d-01db-4ae8-9d56-035689402ec6,FR_LVA_ACES,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,0,1,1,0,1,1,Paradise,Washington,2087.6,3,941e80e8-c1f9-44b8-a57c-8d39d7499b4e,2019-09-15 21:00:00+00:00,Paradise,Paradise,previous_game_city
7a30e9d1-0486-4dca-a5fa-057c96c074b0,2019-09-19 22:30:00+00:00,2019-09-19,2019,a015b02d-845c-40c1-8ef4-844984f47e4d,a015b02d-845c-40c1-8ef4-844984f47e4d,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,1,1,1,0,1,1,Uncasville,Uncasville,0.0,0,4ff77d47-fbe6-40fe-94f4-d7a92e036cc2,2019-09-17 22:30:00+00:00,Uncasville,Uncasville,previous_game_city
7a30e9d1-0486-4dca-a5fa-057c96c074b0,2019-09-19 22:30:00+00:00,2019-09-19,2019,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,a015b02d-845c-40c1-8ef4-844984f47e4d,a015b02d-845c-40c1-8ef4-844984f47e4d,0,1,1,0,2,2,Uncasville,Uncasville,0.0,0,4ff77d47-fbe6-40fe-94f4-d7a92e036cc2,2019-09-17 22:30:00+00:00,Uncasville,Los Angeles,previous_game_city
f5d1e7a4-ef97-49e9-840c-39b77c2da146,2019-09-20 00:30:00+00:00,2019-09-19,2019,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,171b097d-01db-4ae8-9d56-035689402ec6,FR_LVA_ACES,1,1,1,0,1,1,Washington,Washington,4.8,0,7558f483-5bf8-40e3-b2fc-fd5d85b9508c,2019-09-18 00:30:00+00:00,Washington,Washington,previous_game_city
f5d1e7a4-ef97-49e9-840c-39b77c2da146,2019-09-20 00:30:00+00:00,2019-09-19,2019,171b097d-01db-4ae8-9d56-035689402ec6,FR_LVA_ACES,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,0,1,1,0,2,2,Washington,Washington,4.8,0,7558f483-5bf8-40e3-b2fc-fd5d85b9508c,2019-09-18 00:30:00+00:00,Washington,Paradise,previous_game_city
32bef176-246f-4b04-8f4f-6fa612c074d0,2019-09-22 21:00:00+00:00,2019-09-22,2019,171b097d-01db-4ae8-9d56-035689402ec6,FR_LVA_ACES,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,1,1,2,0,1,3,Washington,Paradise,2084.7,-3,f5d1e7a4-ef97-49e9-840c-39b77c2da146,2019-09-20 00:30:00+00:00,Washington,Paradise,previous_game_city
32bef176-246f-4b04-8f4f-6fa612c074d0,2019-09-22 21:00:00+00:00,2019-09-22,2019,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,171b097d-01db-4ae8-9d56-035689402ec6,FR_LVA_ACES,0,1,2,0,1,2,Washington,Paradise,2084.7,-3,f5d1e7a4-ef97-49e9-840c-39b77c2da146,2019-09-20 00:30:00+00:00,Washington,Washington,previous_game_city
