game_id,game_ts,game_date,season,team_id,opponent_team_id,is_home,is_playoff,player_id,player_name,listed_on_game_summary_flag,state_asof_ts,m_ewma_pre,q_pre,strength_pre,days_since_first_report_pre,days_since_last_dnp_pre,consec_dnps_pre,played_last_game_pre,minutes_last_game_pre,days_since_last_played_pre,injury_present_flag_pre,played_in_game,minutes_in_game,not_playing_reason,not_playing_description
61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,2026-05-08,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,0,02cb88c5-7e72-4e85-a930-eb9da814db71,Angela Dugalic,1,2026-05-07 23:59:59+00:00,0.0,0.4657767596924795,0.0,0,0,0,0,0.0,0,0,1,12.433333333333334,,
1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,2026-05-10,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,08ed8274-e29f-4248-bc2e-83cc8ed18d75,1,0,02cb88c5-7e72-4e85-a930-eb9da814db71,Angela Dugalic,1,2026-05-09 23:59:59+00:00,1.1721691076520933,0.4301242394040956,0.5041783458818341,0,0,0,1,12.433333333333334,1,0,1,10.416666666666666,,
61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,2026-05-08,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,0,058cc518-ed77-4c82-9680-9e64bba2f626,Lauren Betts,1,2026-05-07 23:59:59+00:00,0.0,0.4657767596924795,0.0,0,0,0,0,0.0,0,0,1,12.05,,
1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,2026-05-10,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,08ed8274-e29f-4248-bc2e-83cc8ed18d75,1,0,058cc518-ed77-4c82-9680-9e64bba2f626,Lauren Betts,1,2026-05-09 23:59:59+00:00,1.1360298456199245,0.4434835788575867,0.5038105816245558,0,0,0,1,12.05,1,0,1,18.4,,
61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,2026-05-08,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,0,15b29fa3-09c7-4a75-83d2-ee2232745392,Cassandre Prosper,1,2026-05-07 23:59:59+00:00,0.0,0.4657767596924795,0.0,0,0,0,0,0.0,0,0,1,18.616666666666667,,
1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,2026-05-10,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,08ed8274-e29f-4248-bc2e-83cc8ed18d75,1,0,15b29fa3-09c7-4a75-83d2-ee2232745392,Cassandre Prosper,1,2026-05-09 23:59:59+00:00,1.7551111169536031,0.4202817868174672,0.737641236296461,0,0,0,1,18.616666666666667,1,0,1,27.5,,
61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,2026-05-08,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,0,18d3a6ec-6865-47c0-a4b3-b5a8687ad49e,Alex Wilson,1,2026-05-07 23:59:59+00:00,0.0,0.4657767596924795,0.0,0,0,0,0,0.0,0,0,1,17.166666666666668,,
1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,2026-05-10,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,08ed8274-e29f-4248-bc2e-83cc8ed18d75,1,0,18d3a6ec-6865-47c0-a4b3-b5a8687ad49e,Alex Wilson,1,2026-05-09 23:59:59+00:00,1.6184104301362685,0.4358914094947473,0.7054512035330983,0,0,0,1,17.166666666666668,1,0,1,23.766666666666666,,
61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,2026-05-08,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,0,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,1,2026-05-07 23:59:59+00:00,0.0,0.4657767596924795,0.0,0,0,0,0,0.0,0,0,0,0.0,Inactive - Injury/Illness,Left Elbow Strain
1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,2026-05-10,2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,08ed8274-e29f-4248-bc2e-83cc8ed18d75,1,0,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,1,2026-05-09 23:59:59+00:00,0.0,0.4657767596924795,0.0,0,0,0,0,0.0,0,0,0,0.0,DNP – Injury/Illness,Left Elbow Sprain
