season,team_id,off_3pa_rate,def_3pa_allowed,off_2pa_rate,def_2pa_allowed,off_tov_pct,def_forced_tov
2026,0699edf3-5993-4182-b9b4-ec935cbd4fcc,0.3116883116883117,0.2676056338028169,0.6883116883116883,0.7323943661971831,0.08733624454148473,0.18575174825174826
2026,08ed8274-e29f-4248-bc2e-83cc8ed18d75,0.4264705882352941,0.294478527607362,0.5735294117647058,0.7055214723926381,0.17350479689732598,0.14126954228668298
2026,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0.3974358974358974,0.2898550724637681,0.6025641025641025,0.7101449275362319,0.18262206843521722,0.1639702667249672
2026,171b097d-01db-4ae8-9d56-035689402ec6,0.2785714285714286,0.3548387096774194,0.7214285714285714,0.6451612903225806,0.17486338797814208,0.13800858720098141
2026,3c409388-ab73-4c7f-953d-3a71062240f6,0.2463768115942029,0.4084507042253521,0.7536231884057971,0.5915492957746479,0.11583824768323504,0.09111617312072894
2026,4e4f726e-a015-4306-91a7-28e8576c7868,0.3968253968253968,0.375,0.6031746031746031,0.625,0.1694915254237288,0.1963350785340314
2026,4f57ec40-0d35-4b59-bea0-9d040f0d2292,0.5,0.4126984126984127,0.5,0.5873015873015873,0.09710832973672852,0.15751575157515751
2026,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,0.3472222222222222,0.3939393939393939,0.6527777777777778,0.6060606060606061,0.1570097244732577,0.1669100771959107
2026,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,0.3972602739726027,0.2571428571428571,0.6027397260273972,0.7428571428571429,0.19589552238805968,0.15842839036755385
2026,5f0b5caf-708b-4300-92f2-53b51d83ec06,0.3484848484848485,0.3116883116883117,0.6515151515151515,0.6883116883116883,0.1817015818725951,0.13966480446927376
2026,6f017f37-be96-4bdc-b6d3-0a0429c72e89,0.2571428571428571,0.3972602739726027,0.7428571428571429,0.6027397260273972,0.15842839036755385,0.19589552238805968
2026,a015b02d-845c-40c1-8ef4-844984f47e4d,0.28846153846153844,0.4140625,0.7115384615384616,0.5859375,0.16885372443072172,0.1744554874180588
2026,d54283cc-c5ec-4dbd-bb61-166f217e3864,0.4084507042253521,0.2463768115942029,0.5915492957746479,0.7536231884057971,0.09111617312072894,0.11583824768323504
2026,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,0.3870967741935484,0.40816326530612246,0.6129032258064516,0.5918367346938775,0.1616499442586399,0.13963591228796027
2026,f073a15f-0486-4179-b0a3-dfd0294eb595,0.3116883116883117,0.3484848484848485,0.6883116883116883,0.6515151515151515,0.13966480446927376,0.1817015818725951
