season,franchise_id,off_3pa_rate,def_3pa_allowed,off_2pa_rate,def_2pa_allowed,off_tov_pct,def_forced_tov
2021,0699edf3-5993-4182-b9b4-ec935cbd4fcc,0.33263816475495306,0.305627425614489,0.6673618352450469,0.694372574385511,0.1548084768101086,0.12450199203187251
2021,08ed8274-e29f-4248-bc2e-83cc8ed18d75,0.41895604395604397,0.30096274591879446,0.5810439560439561,0.6990372540812055,0.1873803413581001,0.13491617556743196
2021,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,0.305977229601518,0.32806324110671936,0.6940227703984819,0.6719367588932806,0.16050148599128602,0.2014596320510871
2021,3c409388-ab73-4c7f-953d-3a71062240f6,0.31211498973305957,0.26755282890252213,0.6878850102669405,0.7324471710974778,0.16116789535524523,0.16634689962036167
2021,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,0.3963882618510158,0.30242311276794037,0.6036117381489842,0.6975768872320597,0.1434720229555237,0.16107297763928075
2021,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,0.2687074829931973,0.32751297781972627,0.7312925170068028,0.6724870221802737,0.12925842209980645,0.17378111854354872
2021,5f0b5caf-708b-4300-92f2-53b51d83ec06,0.3268983268983269,0.32703553756185333,0.6731016731016731,0.6729644624381467,0.15059244059045476,0.14808350397867048
2021,6f017f37-be96-4bdc-b6d3-0a0429c72e89,0.29507455942159966,0.30548187444739167,0.7049254405784003,0.6945181255526083,0.16506460228582273,0.15644428826296156
2021,FR_LVA_ACES,0.20084485407066052,0.32457438934122873,0.7991551459293394,0.6754256106587713,0.12576792414862514,0.13384051845590308
2021,a015b02d-845c-40c1-8ef4-844984f47e4d,0.2899036447423544,0.32671957671957674,0.7100963552576456,0.6732804232804233,0.1685568295114656,0.17206370971995147
2021,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,0.3290917068889864,0.30296519123334764,0.6709082931110136,0.6970348087666524,0.144381329392785,0.15140447572880003
2021,f073a15f-0486-4179-b0a3-dfd0294eb595,0.25286303252404946,0.3107422775472568,0.7471369674759505,0.6892577224527432,0.1653826541159608,0.14076138469591296
