model,log_loss,brier,accuracy,n_games
elo,0.6021634390757615,0.2072404165350201,0.6777081468218442,1117
logreg_no_elo,0.7854862559748654,0.2360728667014246,0.6436884512085944,1117
xgb_no_elo,0.6228047972531856,0.21654823142442592,0.6508504923903312,1117
logreg_with_elo,0.7321905570060494,0.22849226004253304,0.6589077887197852,1117
xgb_with_elo,0.5993936099064925,0.2054962836712383,0.6947179946284691,1117
