feature,gain,weight,cover,gain_norm,weight_norm,cover_norm
away_p5_played_last_game_pre,9.35822868347168,1.0,25.649158477783203,0.014552770244954973,0.0004284490145672665,0.002731922353964612
home_p2_played_last_game_pre,8.349550247192383,1.0,367.7114562988281,0.012984197170849726,0.0004284490145672665,0.03916538424220738
away_p2_played_last_game_pre,8.208812713623047,2.0,116.38676452636719,0.012765339408323199,0.000856898029134533,0.012396492617510566
away_p5_days_since_last_played_pre,8.031996726989746,35.0,256.3343505859375,0.012490376857594541,0.014995715509854327,0.027302476338991705
away_p5_days_since_first_report_pre,7.9505228996276855,16.0,344.3966064453125,0.01236367874722764,0.006855184233076264,0.03668209187418218
away_days_rest_pre,7.950284004211426,5.0,71.66936492919922,0.012363307246356803,0.0021422450728363325,0.007633589238965505
home_p6_played_last_game_pre,7.883387565612793,2.0,176.53390502929688,0.012259278104298001,0.000856898029134533,0.018802836038458757
away_p2_q_pre,7.806110382080078,48.0,121.23040771484375,0.012139106100047339,0.02056555269922879,0.012912394810274093
home_p1_q_pre,7.676269054412842,55.0,139.66000366210938,0.011937192781431981,0.02356469580119966,0.014875352978530616
away_p6_days_since_last_dnp_pre,7.645047187805176,5.0,330.501220703125,0.011888640361232794,0.0021422450728363325,0.03520207782386063
away_p4_days_since_last_played_pre,7.592068672180176,11.0,203.71290588378906,0.01180625466711409,0.004712939160239932,0.021697703722212403
away_p4_q_pre,7.480075836181641,21.0,43.11760330200195,0.01163209713511809,0.008997429305912597,0.00459250717375965
home_p1_days_since_last_played_pre,7.379025459289551,7.0,100.61128997802734,0.011474955974347573,0.0029991431019708655,0.010716228073925657
away_travel_miles_pre,7.330860614776611,32.0,34.179595947265625,0.011400055911548428,0.013710368466152529,0.003640509387420787
home_p4_played_last_game_pre,7.3048577308654785,1.0,34.05268478393555,0.011359619413567426,0.0004284490145672665,0.0036269919285782516
home_games_last_4_days_pre,7.235013961791992,6.0,69.3705062866211,0.01125100694439756,0.002570694087403599,0.007388735072708792
home_p2_m_ewma_pre,7.181594371795654,59.0,130.99400329589844,0.01116793534547741,0.025278491859468722,0.013952326979824894
away_p2_m_ewma_pre,7.175116539001465,34.0,52.56584548950195,0.011157861813879963,0.01456726649528706,0.005598850678559641
home_p2_days_since_last_played_pre,7.136258602142334,12.0,175.5447235107422,0.01109743471315067,0.005141388174807198,0.018697477139257093
home_games_last_7_days_pre,7.132226467132568,4.0,22.60890007019043,0.011091164430987403,0.001713796058269066,0.0024081008175689507
away_p6_days_since_first_report_pre,7.091238021850586,3.0,277.3264465332031,0.011027424224687452,0.0012853470437017994,0.029538369427826543
home_p6_days_since_last_played_pre,7.052018165588379,9.0,154.514892578125,0.010966434311261621,0.0038560411311053984,0.01645756485228374
away_p7_m_ewma_pre,7.0413289070129395,61.0,99.67357635498047,0.010949811686468105,0.026135389888603255,0.01061635108144507
home_p3_days_since_last_played_pre,7.00412654876709,4.0,97.93890380859375,0.010891959138680022,0.001713796058269066,0.01043158904683924
home_p1_m_ewma_pre,6.933343410491943,39.0,119.66482543945312,0.010781885877662751,0.016709511568123392,0.012745642781398949
home_p5_m_ewma_pre,6.898679733276367,36.0,97.18807983398438,0.010727981175456177,0.015424164524421594,0.010351617892935512
home_travel_miles_pre,6.871906280517578,10.0,25.374780654907227,0.010686346383249083,0.004284490145672665,0.00270269804594701
home_p6_minutes_last_game_pre,6.837441921234131,36.0,100.70054626464844,0.010632751635860891,0.015424164524421594,0.010725734867096406
away_off_2pa_rate_pre,6.76252555847168,30.0,104.55824279785156,0.010516250890715048,0.012853470437017995,0.01113662270979105
home_p3_days_since_last_dnp_pre,6.690144062042236,2.0,309.79266357421875,0.010403692059001081,0.000856898029134533,0.03299638479156034
away_p3_days_since_last_played_pre,6.663491725921631,10.0,177.21945190429688,0.01036224561254487,0.004284490145672665,0.018875854450900058
home_p7_m_ewma_pre,6.630268573760986,44.0,106.74124145507812,0.010310581038343881,0.018851756640959727,0.011369136491306248
home_p4_days_since_last_played_pre,6.567907810211182,14.0,169.60702514648438,0.01021360522220005,0.005998286203941731,0.018065045829416437
home_p5_days_since_last_played_pre,6.556656837463379,5.0,62.97290802001953,0.010196109088372908,0.0021422450728363325,0.006707319277670021
home_def_3pa_allowed_pre,6.496854305267334,34.0,47.33490753173828,0.010103111520077462,0.01456726649528706,0.005041697259612398
away_p1_q_pre,6.476649284362793,26.0,59.36473846435547,0.010071691148021623,0.011139674378748929,0.0063230088499204576
away_p5_q_pre,6.4709367752075195,17.0,40.42206573486328,0.010062807753944523,0.00728363324764353,0.004305402263787805
home_p1_minutes_last_game_pre,6.454843997955322,23.0,54.30942153930664,0.01003778223919427,0.00985432733504713,0.0057845610358964955
home_p5_days_since_first_report_pre,6.450397968292236,2.0,220.2554931640625,0.0100308683187957,0.000856898029134533,0.02345967435460313
away_p6_m_ewma_pre,6.430911540985107,38.0,139.7045440673828,0.010000565415427189,0.016281062553556127,0.014880097030033379
