feature,gain,weight,cover,gain_norm,weight_norm,cover_norm
home_net_rtg_ewma_pre,10.504166603088379,243.0,173.94630432128906,0.02083666919177805,0.026800485276276608,0.015016666009510918
away_net_rtg_ewma_pre,9.836630821228027,205.0,134.307373046875,0.01951250681070828,0.022609462887393846,0.011594664063310433
home_p1_q_pre,9.632181167602539,241.0,152.3861846923828,0.019106948715531518,0.026579905150545934,0.013155395562543675
away_p2_q_pre,7.942509174346924,202.0,119.87947082519531,0.01575521814075864,0.02227859269879784,0.01034911308867942
away_p1_q_pre,7.652099132537842,190.0,111.25008392333984,0.015179144074171848,0.02095511194441381,0.009604143993316166
away_p7_days_since_last_played_pre,6.403552532196045,30.0,70.9784927368164,0.012702455207280477,0.003308701885960075,0.006127524947690534
away_p5_played_last_game_pre,6.360010623931885,5.0,112.54239654541016,0.012616082973027043,0.0005514503143266791,0.009715708462025205
away_p2_played_last_game_pre,5.802711009979248,4.0,94.1809310913086,0.01151059139664415,0.00044116025146134335,0.008130575651959116
home_p5_injury_present_flag_pre,5.785566806793213,3.0,147.9908905029297,0.011476583168876798,0.0003308701885960075,0.012775952807987356
home_p2_q_pre,5.289681434631348,153.0,77.15998077392578,0.010492916415748512,0.01687437961839638,0.0066611686008698785
away_p3_q_pre,5.150875091552734,162.0,63.812252044677734,0.010217572167914595,0.017866990184184407,0.005508868268334788
home_p4_m_ewma_pre,5.098329544067383,212.0,67.77674865722656,0.010113339796911336,0.023381493327451198,0.005851120561413238
home_p3_days_since_first_report_pre,4.986071586608887,4.0,153.64808654785156,0.009890658454155439,0.00044116025146134335,0.01326433469047913
away_p5_days_since_last_played_pre,4.9606194496154785,65.0,149.84678649902344,0.00984017013092192,0.007168854086246829,0.012936171045623794
home_ftr_ewma_pre,4.799795627593994,126.0,51.882164001464844,0.00952115074516372,0.013896547921032315,0.004478951890933134
home_p6_played_last_game_pre,4.790487766265869,4.0,61.559226989746094,0.009502687135940303,0.00044116025146134335,0.005314366149459775
away_p4_days_since_last_played_pre,4.764144420623779,39.0,127.36669921875,0.009450430959958907,0.004301312451748097,0.010995480417733258
home_p2_m_ewma_pre,4.745990753173828,147.0,79.57243347167969,0.009414420300801904,0.016212639241204366,0.006869433999593157
away_p5_days_since_first_report_pre,4.707962989807129,30.0,296.4176330566406,0.009338986241602752,0.003308701885960075,0.025589532426740714
home_p2_days_since_last_played_pre,4.615693092346191,32.0,103.14779663085938,0.009155954364596196,0.003529282011690747,0.008904679048320535
away_p6_days_since_last_played_pre,4.611441612243652,28.0,50.06707000732422,0.009147520884071813,0.0030881217602294034,0.004322256062342638
home_p5_m_ewma_pre,4.600065231323242,147.0,59.498924255371094,0.00912495404038061,0.016212639241204366,0.005136501617291012
away_games_last_4_days_pre,4.5939531326293945,17.0,79.18623352050781,0.009112829729774783,0.0018749310687107093,0.006836093620777603
home_def_2pa_allowed_pre,4.54764461517334,69.0,51.127960205078125,0.009020969490361807,0.007610014337708172,0.004413841990739305
home_p6_q_pre,4.535243511199951,134.0,70.40089416503906,0.008996369947069113,0.014778868423955002,0.006077661256284189
home_p6_days_since_last_played_pre,4.529174327850342,35.0,54.48398208618164,0.00898433076580909,0.003860152200286754,0.004703565074571297
home_def_forced_tov_pre,4.505019187927246,165.0,67.11334991455078,0.008936415240582113,0.018197860372780414,0.005793849799675804
home_p7_days_since_first_report_pre,4.498642444610596,6.0,268.3247985839844,0.008923765965677156,0.000661740377192015,0.023164297155532237
home_p7_m_ewma_pre,4.492335796356201,139.0,74.91299438476562,0.008911255735370348,0.015330318738281681,0.006467187795899104
away_p1_minutes_last_game_pre,4.467411041259766,151.0,58.4306640625,0.008861813557208605,0.01665379949266571,0.005044279442234214
home_p7_minutes_last_game_pre,4.465717315673828,81.0,45.68721389770508,0.00885845378569418,0.008933495092092203,0.0039441460667063765
home_days_rest_pre,4.4569091796875,27.0,58.96272659301758,0.008840981460408579,0.0029778316973640673,0.00509021203820475
away_p3_played_last_game_pre,4.452683925628662,2.0,114.41876220703125,0.008832600003373298,0.00022058012573067168,0.009877693831948527
away_p4_m_ewma_pre,4.449466228485107,107.0,44.386844635009766,0.008826217194201185,0.011801036726590934,0.0038318860736980655
away_p6_m_ewma_pre,4.445147514343262,146.0,88.61412048339844,0.008817650344368374,0.016102349178339033,0.007649996682699819
away_p4_minutes_last_game_pre,4.438680171966553,118.0,44.526763916015625,0.008804821351955608,0.013014227418109628,0.003843965209954246
home_travel_miles_pre,4.43656063079834,63.0,44.41621780395508,0.008800616908154478,0.0069482739605161575,0.0038344218393725
away_p3_m_ewma_pre,4.425186634063721,126.0,50.41180419921875,0.008778054793871375,0.013896547921032315,0.004352016730394413
away_def_2pa_allowed_pre,4.425130367279053,58.0,63.33464813232422,0.008777943179840209,0.006396823646189478,0.005467637047788697
home_is_b2b_pre,4.421734809875488,1.0,69.3953628540039,0.008771207556823818,0.00011029006286533584,0.005990854422883288
home_p5_played_last_game_pre,4.420444488525391,2.0,51.94997787475586,0.008768648001159958,0.00022058012573067168,0.004484806216438903
away_tov_pct_ewma_pre,4.417355537414551,79.0,60.31864929199219,0.00876252058002526,0.008712914966361531,0.005207267921539917
home_games_last_7_days_pre,4.415903091430664,21.0,58.5340461730957,0.00875963942461058,0.0023160913201720527,0.005053204349447572
home_p3_days_since_last_played_pre,4.403887748718262,24.0,117.30573272705078,0.00873580509954851,0.00264696150876806,0.010126924031161973
home_p4_q_pre,4.369385242462158,101.0,55.30315017700195,0.008667363943166402,0.01113929634939892,0.004774283298068453
away_p6_minutes_last_game_pre,4.364387512207031,120.0,72.1867904663086,0.008657450157906636,0.0132348075438403,0.006231836467930253
away_p2_m_ewma_pre,4.358521461486816,138.0,51.51588439941406,0.008645813922216757,0.015220028675416344,0.004447331222293151
home_tov_pct_ewma_pre,4.349637031555176,79.0,49.92271423339844,0.008628190255871946,0.008712914966361531,0.004309793926673553
away_def_3pa_allowed_pre,4.34752082824707,98.0,43.896629333496094,0.008623992433242154,0.010808426160802912,0.003789566120513055
home_p6_minutes_last_game_pre,4.339330673217773,154.0,96.62674713134766,0.008607745970536141,0.016984669681261718,0.008341721285304292
home_p5_days_since_last_played_pre,4.330765247344971,33.0,64.45232391357422,0.008590755098995146,0.0036395720745560824,0.005564125236942459
away_off_3pa_rate_pre,4.31111478805542,122.0,65.67822265625,0.0085517753174328,0.01345538766957097,0.005669956240665535
home_p3_m_ewma_pre,4.29696798324585,143.0,76.66175079345703,0.008523712901529095,0.015771478989743026,0.0066181567459079865
away_p6_days_since_first_report_pre,4.282515048980713,11.0,282.51953125,0.008495043229625316,0.0012131906915186941,0.024389718761191285
home_p6_injury_present_flag_pre,4.277419090270996,1.0,352.510986328125,0.00848493459275182,0.00011029006286533584,0.030432033419895158
away_def_forced_tov_pre,4.276210308074951,168.0,75.69939422607422,0.008482536782844987,0.01852873056137642,0.006535077158728287
home_p6_m_ewma_pre,4.255612850189209,122.0,47.15207290649414,0.008441678480385219,0.01345538766957097,0.004070606347491522
away_p4_q_pre,4.231813430786133,90.0,43.40330505371094,0.0083944685828468,0.009926105657880225,0.0037469777713508155
away_travel_miles_pre,4.22940731048584,121.0,40.527687072753906,0.008389695664192018,0.013345097606705636,0.003498727629104529
away_p1_m_ewma_pre,4.222092628479004,127.0,80.81451416015625,0.00837518584014042,0.01400683798389765,0.0069766619796786935
home_p7_q_pre,4.217057228088379,124.0,48.07845687866211,0.008365197330232669,0.013675967795301643,0.004150580445020583
away_p5_m_ewma_pre,4.1929779052734375,116.0,66.78146362304688,0.00831743220018328,0.012793647292378956,0.005765198282116432
away_ftr_ewma_pre,4.188845634460449,101.0,58.09662628173828,0.008309235190063909,0.01113929634939892,0.005015442188072194
home_p6_days_since_first_report_pre,4.175342559814453,4.0,218.4820556640625,0.008282449714347275,0.00044116025146134335,0.018861407097897496
away_p7_m_ewma_pre,4.15531063079834,163.0,72.16573333740234,0.008242713227488888,0.01797728024704974,0.006230018620329879
away_p2_minutes_last_game_pre,4.148571491241455,145.0,65.054931640625,0.008229345082552691,0.015992059115473696,0.005616147951694466
home_orb_pct_ewma_pre,4.145261287689209,78.0,44.53459167480469,0.00822277877234629,0.008602624903496194,0.003844640975040472
away_off_2pa_rate_pre,4.1414103507995605,78.0,73.79022979736328,0.00821513983238275,0.008602624903496194,0.006370260293575251
home_p4_played_last_game_pre,4.137323379516602,2.0,120.37181854248047,0.008207032681017282,0.00022058012573067168,0.01039161713186599
home_off_tov_pct_pre,4.12263822555542,146.0,53.77495574951172,0.008177902364764539,0.016102349178339033,0.004642355313712836
