season_year,season_type,game_id,scheduled,status,side,team_id,opponent_id,player_id,player_name,played,active,starter,on_court,minutes,minutes_raw,not_playing_reason,not_playing_description,bronze_file,game_date,issue_class,tokens
2026,REG,7def09d1-d666-4e08-a6d4-213059a7ffe9,2026-05-10 01:00:00+00:00,closed,home,d54283cc-c5ec-4dbd-bb61-166f217e3864,3c409388-ab73-4c7f-953d-3a71062240f6,d8df74ae-9911-43cb-9ae4-a6949093942a,Kamiah Smalls,,,,False,0.0,00:00,Inactive - Coaches Decision,,game_summary__7def09d1-d666-4e08-a6d4-213059a7ffe9__20260510T191513Z.json,2026-05-10,rest_or_coach,
2026,REG,235de568-8156-4dd4-835a-b696ff560f45,2026-05-10 17:00:00+00:00,closed,home,a015b02d-845c-40c1-8ef4-844984f47e4d,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,2044241a-66b0-4ae0-a7cb-d36b9fb15a65,Ashlon Jackson,,True,,False,0.0,00:00,DND - Coaches Decision,Coach's Decision,game_summary__235de568-8156-4dd4-835a-b696ff560f45__20260510T193916Z.json,2026-05-10,rest_or_coach,
2026,REG,235de568-8156-4dd4-835a-b696ff560f45,2026-05-10 17:00:00+00:00,closed,home,a015b02d-845c-40c1-8ef4-844984f47e4d,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,95b09658-91ce-423b-b4c9-3c90dfb3a73a,Raegan Beers,,True,,False,0.0,00:00,DNP – Coach's Decision,,game_summary__235de568-8156-4dd4-835a-b696ff560f45__20260510T193916Z.json,2026-05-10,rest_or_coach,
2026,REG,235de568-8156-4dd4-835a-b696ff560f45,2026-05-10 17:00:00+00:00,closed,away,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,a015b02d-845c-40c1-8ef4-844984f47e4d,c68b8f7d-ba79-4e56-bb0f-fc44688e722c,Taina Mair,,True,,False,0.0,00:00,DND - Coaches Decision,Coach's Decision,game_summary__235de568-8156-4dd4-835a-b696ff560f45__20260510T193916Z.json,2026-05-10,rest_or_coach,
2026,REG,1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,closed,away,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,2199ae2c-7588-4610-9deb-a1b5e8025d43,Sabrina Ionescu,,True,,False,0.0,00:00,DNP – Coach's Decision,,game_summary__1ef40916-c578-4316-b5d3-6c626d6dd895__20260511T015058Z.json,2026-05-10,rest_or_coach,
2026,REG,1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,closed,away,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,357ea521-789b-4d23-a7ad-f4f539c0d824,Satou Sabally,,True,,False,0.0,00:00,DNP – Coach's Decision,,game_summary__1ef40916-c578-4316-b5d3-6c626d6dd895__20260511T015058Z.json,2026-05-10,rest_or_coach,
2026,REG,1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,closed,away,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,9848c81d-efc7-4927-bc18-98fd0e50c761,Rebecca Allen,,True,,False,0.0,00:00,DNP – Coach's Decision,,game_summary__1ef40916-c578-4316-b5d3-6c626d6dd895__20260511T015058Z.json,2026-05-10,rest_or_coach,
2026,REG,1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,closed,away,08ed8274-e29f-4248-bc2e-83cc8ed18d75,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,dffaa225-77d7-4b0d-8cc0-a80543a14033,Marine Fauthoux,,True,,False,0.0,00:00,DNP – Coach's Decision,,game_summary__1ef40916-c578-4316-b5d3-6c626d6dd895__20260511T015058Z.json,2026-05-10,rest_or_coach,
2026,REG,1ef40916-c578-4316-b5d3-6c626d6dd895,2026-05-10 19:00:00+00:00,closed,home,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,08ed8274-e29f-4248-bc2e-83cc8ed18d75,ec5e3e73-1818-4cf2-a5d4-f9ea7ca6fb32,Darianna Littlepage-Buggs,,True,,False,0.0,00:00,DNP – Coach's Decision,,game_summary__1ef40916-c578-4316-b5d3-6c626d6dd895__20260511T015058Z.json,2026-05-10,rest_or_coach,
2026,REG,9de17155-e91b-435c-855e-11c202996f68,2026-05-10 22:00:00+00:00,closed,home,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,171b097d-01db-4ae8-9d56-035689402ec6,e0a21f37-4dec-43db-aec9-381d39616de6,Laura Ziegler,,,,False,0.0,00:00,Inactive - Coaches Decision,,game_summary__9de17155-e91b-435c-855e-11c202996f68__20260511T015100Z.json,2026-05-10,rest_or_coach,
2026,REG,9de17155-e91b-435c-855e-11c202996f68,2026-05-10 22:00:00+00:00,closed,home,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,171b097d-01db-4ae8-9d56-035689402ec6,ea77addf-9b42-4d57-8669-c022f61ce2d9,Kate Martin,,,,False,0.0,00:00,Inactive - Coaches Decision,,game_summary__9de17155-e91b-435c-855e-11c202996f68__20260511T015100Z.json,2026-05-10,rest_or_coach,
