season_year,season_type,game_id,scheduled,status,side,team_id,opponent_id,player_id,player_name,played,active,starter,on_court,minutes,minutes_raw,not_playing_reason,not_playing_description,bronze_file
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,058cc518-ed77-4c82-9680-9e64bba2f626,Lauren Betts,True,True,,False,12.05,12:03,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,15b29fa3-09c7-4a75-83d2-ee2232745392,Cassandre Prosper,True,True,True,False,18.616666666666667,18:37,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,18d3a6ec-6865-47c0-a4b3-b5a8687ad49e,Alex Wilson,True,True,,False,17.166666666666668,17:10,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,,,,False,0.0,00:00,Inactive - Injury/Illness,Left Elbow Strain,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,4945c3b5-f536-470c-8f2b-76568b59fe52,Kiki Iriafen,True,True,True,True,27.566666666666666,27:34,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,4d70f9da-972d-4903-b9e5-d4d4aaa0a91d,Michaela Onyenwere,,,,False,0.0,00:00,Inactive - Injury/Illness,Left Leg Injury Management,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,4e5370b1-4813-4e01-914e-e7f4a00ba565,Sonia Citron,True,True,True,True,34.28333333333333,34:17,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,54e15980-ce12-4c08-893f-f19a8c57be49,Lucy Olsen,True,True,,True,9.933333333333334,9:56,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,58456ac4-0f93-4ffd-a6b4-52495df0a69f,Rori Harmon,True,True,,True,19.566666666666666,19:34,,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08T23:30:00+00:00,closed,away,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,757cdede-a858-4dfd-8089-a3d72ecd82c5,Alicia Florez Getino,,,,False,0.0,00:00,Inactive - Not With Team,,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
