asof_date,team_id,team_name,player_id,player_name,injury_id,desc,status,comment,start_date,update_date,bronze_file,event_date,issue_class,tokens
2026-05-04,08ed8274-e29f-4248-bc2e-83cc8ed18d75,New York Liberty,2199ae2c-7588-4610-9deb-a1b5e8025d43,Sabrina Ionescu,3e936673-1816-4b11-bbbd-492a6d6900d2,Ankle,Out,The Liberty said on Monday (May 4) that Ionescu will miss at least 2 weeks.,2026-05-04,2026-05-04,daily_injuries__2026-05-04__20260510T001545Z.json,2026-05-04,injury_medical,ankle|illness
2026-05-05,6f017f37-be96-4bdc-b6d3-0a0429c72e89,Minnesota Lynx,a4d323e8-eea6-49b4-91f2-7edd99b2fa68,Dorka Juhász,5ff47f2c-f746-46db-9e97-a0e328dbe1c6,Foot,Out,The Lynx said on Tuesday (May 5) that Juhasz will miss start of regular season and has no official timetable for return.,2026-05-05,2026-05-05,daily_injuries__2026-05-05__20260510T001547Z.json,2026-05-05,injury_medical,foot|illness
2026-05-05,a015b02d-845c-40c1-8ef4-844984f47e4d,Connecticut Sun,817be612-8b36-41b8-950f-1a675564323e,Leila Lacan,c5f01bae-2a6c-47c3-8fbd-d9e8fcc96ca9,Not Injury Related,Out,"The Sun said on Tuesday (May 5) that Lacan is expected to miss at least the first week of the regular season due to an overseas commitment, per Emily Adams of the Hartford Courant.",2026-05-05,2026-05-05,daily_injuries__2026-05-05__20260510T001547Z.json,2026-05-05,injury_medical,
2026-05-06,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Phoenix Mercury,82661dca-4121-4f2c-9918-7960ae068b83,Sami Whitcomb,11e9a1e7-79f2-494f-9fc2-3f725df94564,Knee,Out,The Mercury said on Wednesday (May 6) that Whitcomb will miss at least 4-6 weeks.,2026-05-06,2026-05-06,daily_injuries__2026-05-06__20260510T001548Z.json,2026-05-06,injury_medical,illness|knee
2026-05-07,08ed8274-e29f-4248-bc2e-83cc8ed18d75,New York Liberty,fd9c6f75-0468-4b52-a3f7-6f70d1d658c6,Leonie Fiebich,15139a38-7cbc-4ea5-ac10-d248eed1f5dd,Not Injury Related,Out,The New York Liberty temporarily suspended F Leonie Fiebich's contract due to overseas commitment.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,
2026-05-07,08ed8274-e29f-4248-bc2e-83cc8ed18d75,New York Liberty,6704d359-c9ed-4dfd-8521-51293042f0b8,Raquel Carrera,7b242b3b-0899-4d17-af0d-bdc4ae941b09,Not Injury Related,Out,The New York Liberty temporarily suspended C Raquel Carrera's contract due to overseas commitment.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,
2026-05-07,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Phoenix Mercury,150e2dfb-8a7c-46ef-b729-6311f7461b66,Valeriane Ayayi,60b5d459-a70e-43a2-8ad1-1bc007afe12a,Not Injury Related,Out,The Phoenix Mercury temporarily suspended F Valeriane Ayayi's contract due to FIBA clearance.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,
2026-05-07,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Phoenix Mercury,9158b902-df40-43d9-8692-327b6f6721dd,Monique Akoa Makani,e85291e9-d011-4776-a751-469a57e3c194,Not Injury Related,Out,The Mercury said on Thursday (May 7) that Akoa Makani's contract is temporarily suspended due to an overseas commitment.,2026-04-24,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,
2026-05-07,d54283cc-c5ec-4dbd-bb61-166f217e3864,Portland Fire,463dfac9-ee01-4fa5-ad71-32e335982ef3,Teja Oblak,7456d403-5d43-4122-a853-9f9fcab487db,Quadriceps,Out,The Portland Fire temporarily suspended G Teja Oblak's contract due to a quadriceps injury.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,quad
2026-05-07,d54283cc-c5ec-4dbd-bb61-166f217e3864,Portland Fire,d8df74ae-9911-43cb-9ae4-a6949093942a,Kamiah Smalls,7c0ec953-6f0d-40b3-bac2-8f8d687ca74e,Knee,Out,The Portland Fire temporarily suspended G Kamiah Smalls' contract due to a knee injury.,2026-05-07,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,knee
