asof_date,team_id,team_name,player_id,player_name,injury_id,desc,status,comment,start_date,update_date,bronze_file,event_date,issue_class,tokens,event_dt,source
2026-05-09,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,,7ff950fc-3872-4d7c-84ce-db06ebe42123,Ezi Magbegor,DNP_7ff950fc-3872-4d7c-84ce-db06ebe42123_8f658fb4-cc4e-4499-a66f-025474c73ba8,Right Foot,Out,SYNTH_FROM_DNP: DND - Injury/Illness :: Right Foot,2026-05-09,2026-05-09,,2026-05-09,illness,foot|illness,,dnp_injury_unmatched
2026-05-10,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,,7ff950fc-3872-4d7c-84ce-db06ebe42123,Ezi Magbegor,DNP_7ff950fc-3872-4d7c-84ce-db06ebe42123_235de568-8156-4dd4-835a-b696ff560f45,Right Foot,Out,SYNTH_FROM_DNP: DND - Injury/Illness :: Right Foot,2026-05-10,2026-05-10,,2026-05-10,illness,foot|illness,,dnp_injury_unmatched
2026-05-05,a015b02d-845c-40c1-8ef4-844984f47e4d,Connecticut Sun,817be612-8b36-41b8-950f-1a675564323e,Leila Lacan,c5f01bae-2a6c-47c3-8fbd-d9e8fcc96ca9,Not Injury Related,Out,"The Sun said on Tuesday (May 5) that Lacan is expected to miss at least the first week of the regular season due to an overseas commitment, per Emily Adams of the Hartford Courant.",2026-05-05,2026-05-05,daily_injuries__2026-05-05__20260510T001547Z.json,2026-05-05,injury_medical,,2026-05-05 00:00:00+00:00,daily_update
2026-05-07,a015b02d-845c-40c1-8ef4-844984f47e4d,Connecticut Sun,817be612-8b36-41b8-950f-1a675564323e,Leila Lacan,c5f01bae-2a6c-47c3-8fbd-d9e8fcc96ca9,Not Injury Related,Out,The Sun said on Thursday (May 7) that G Leila Lacan's contract is temporarily suspended due to an overseas commitment.,2026-05-05,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,,2026-05-07 00:00:00+00:00,daily_update
2026-05-06,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Phoenix Mercury,82661dca-4121-4f2c-9918-7960ae068b83,Sami Whitcomb,11e9a1e7-79f2-494f-9fc2-3f725df94564,Knee,Out,The Mercury said on Wednesday (May 6) that Whitcomb will miss at least 4-6 weeks.,2026-05-06,2026-05-06,daily_injuries__2026-05-06__20260510T001548Z.json,2026-05-06,injury_medical,illness|knee,2026-05-06 00:00:00+00:00,daily_update
2026-05-07,0699edf3-5993-4182-b9b4-ec935cbd4fcc,Phoenix Mercury,9158b902-df40-43d9-8692-327b6f6721dd,Monique Akoa Makani,e85291e9-d011-4776-a751-469a57e3c194,Not Injury Related,Out,The Mercury said on Thursday (May 7) that Akoa Makani's contract is temporarily suspended due to an overseas commitment.,2026-04-24,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,,2026-05-07 00:00:00+00:00,daily_update
2026-05-09,171b097d-01db-4ae8-9d56-035689402ec6,,96018564-39be-40b9-a4be-b1f187d9e85f,Janiah Barker,DNP_96018564-39be-40b9-a4be-b1f187d9e85f_6c13be8a-ab72-42d8-88d0-17889606673e,Concussion Protocol,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: Concussion Protocol,2026-05-09,2026-05-09,,2026-05-09,illness,concussion|illness,,dnp_injury_unmatched
2026-05-10,171b097d-01db-4ae8-9d56-035689402ec6,,96018564-39be-40b9-a4be-b1f187d9e85f,Janiah Barker,DNP_96018564-39be-40b9-a4be-b1f187d9e85f_9de17155-e91b-435c-855e-11c202996f68,Concussion,Out,SYNTH_FROM_DNP: Inactive - Injury/Illness :: Concussion,2026-05-10,2026-05-10,,2026-05-10,illness,concussion|illness,,dnp_injury_unmatched
2026-05-08,08ed8274-e29f-4248-bc2e-83cc8ed18d75,,9848c81d-efc7-4927-bc18-98fd0e50c761,Rebecca Allen,DNP_9848c81d-efc7-4927-bc18-98fd0e50c761_a01c0aa0-885e-4258-82c5-695c2ada9546,L. Leg,Out,SYNTH_FROM_DNP: DND - Injury/Illness :: L. Leg,2026-05-08,2026-05-08,,2026-05-08,illness,illness|leg,,dnp_injury_unmatched
2026-05-07,d6a012ed-84aa-48d3-8265-2d3f3ff2199a,Seattle Storm,9889ae49-a1bc-400c-a4a7-1dd3509f41f9,Awa Fam,96f64c32-a031-496a-9380-5301d5b3b706,Not Injury Related,Out,The Seattle Storm temporarily suspended C Awa Fam's contract due to overseas commitment.,2026-04-28,2026-05-07,daily_injuries__2026-05-07__20260510T001550Z.json,2026-05-07,injury_medical,,2026-05-07 00:00:00+00:00,daily_update
