season_year,season_type,game_id,scheduled,team_id,opponent_id,is_home,player_id,player_name,played,active,starter,minutes,minutes_raw,points,rebounds,assists,steals,blocks,turnovers,fga,fgm,fta,ftm,eff,bronze_file
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,02cb88c5-7e72-4e85-a930-eb9da814db71,Angela Dugalic,True,True,,12.433333333333334,12:26,2,2,0,0,0,1,4,1,0,0,0,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,058cc518-ed77-4c82-9680-9e64bba2f626,Lauren Betts,True,True,,12.05,12:03,0,5,1,0,0,0,4,0,0,0,2,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,15b29fa3-09c7-4a75-83d2-ee2232745392,Cassandre Prosper,True,True,True,18.616666666666667,18:37,2,1,2,1,0,1,5,1,0,0,1,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,18d3a6ec-6865-47c0-a4b3-b5a8687ad49e,Alex Wilson,True,True,,17.166666666666668,17:10,2,2,1,0,0,0,3,1,0,0,3,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,26c2f575-8b8d-44de-a3ca-ccbfac38b598,Cotie McMahon,,,,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,4945c3b5-f536-470c-8f2b-76568b59fe52,Kiki Iriafen,True,True,True,27.566666666666666,27:34,12,16,2,0,1,2,9,5,4,2,23,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,4d70f9da-972d-4903-b9e5-d4d4aaa0a91d,Michaela Onyenwere,,,,0.0,00:00,0,0,0,0,0,0,0,0,0,0,0,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,4e5370b1-4813-4e01-914e-e7f4a00ba565,Sonia Citron,True,True,True,34.28333333333333,34:17,26,2,0,2,2,2,12,9,8,5,24,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,54e15980-ce12-4c08-893f-f19a8c57be49,Lucy Olsen,True,True,,9.933333333333334,9:56,0,0,1,0,0,2,3,0,0,0,-4,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
2026,REG,61500e2a-18d1-4bb9-82ce-ab3010c4ce53,2026-05-08 23:30:00+00:00,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,4e4f726e-a015-4306-91a7-28e8576c7868,0,58456ac4-0f93-4ffd-a6b4-52495df0a69f,Rori Harmon,True,True,,19.566666666666666,19:34,0,2,2,3,0,3,2,0,0,0,2,game_summary__61500e2a-18d1-4bb9-82ce-ab3010c4ce53__20260510T001532Z.json
