market_ticker,event_ticker,yes_sub_title,status,result,settlement_value_dollars,settlement_ts,close_time,expiration_value
KXWNBAGAME-25AUG05DALNY-NY,KXWNBAGAME-25AUG05DALNY,New York,finalized,yes,1.0,2025-08-06 01:10:56.581523+00:00,2025-08-06 01:05:56.123873+00:00,New York
KXWNBAGAME-25AUG05INDLA-IND,KXWNBAGAME-25AUG05INDLA,Indiana,finalized,no,0.0,2025-08-06 04:21:52.570918+00:00,2025-08-06 04:16:52.418859+00:00,Los Angeles
KXWNBAGAME-25AUG05INDLA-LA,KXWNBAGAME-25AUG05INDLA,Los Angeles,finalized,yes,1.0,2025-08-06 04:21:52.570918+00:00,2025-08-06 04:16:52.418859+00:00,Los Angeles
KXWNBAGAME-25AUG05MINSEA-MIN,KXWNBAGAME-25AUG05MINSEA,Minnesota,finalized,yes,1.0,2025-08-06 04:20:33.570997+00:00,2025-08-06 04:15:32.872184+00:00,Minnesota
KXWNBAGAME-25AUG05MINSEA-SEA,KXWNBAGAME-25AUG05MINSEA,Seattle,finalized,no,0.0,2025-08-06 04:20:33.570997+00:00,2025-08-06 04:15:32.872184+00:00,Minnesota
KXWNBAGAME-25AUG05WSHCHI-CHI,KXWNBAGAME-25AUG05WSHCHI,Chicago,finalized,yes,1.0,2025-08-06 02:03:32.581169+00:00,2025-08-06 01:58:31.945001+00:00,Chicago
KXWNBAGAME-25AUG05WSHCHI-WSH,KXWNBAGAME-25AUG05WSHCHI,Washington,finalized,no,0.0,2025-08-06 02:03:32.581169+00:00,2025-08-06 01:58:31.945001+00:00,Chicago
KXWNBAGAME-25AUG06LVGS-GS,KXWNBAGAME-25AUG06LVGS,Golden State,finalized,no,0.0,2025-08-07 04:34:15.850238+00:00,2025-08-07 04:29:15.482183+00:00,Las Vegas
KXWNBAGAME-25AUG06LVGS-LV,KXWNBAGAME-25AUG06LVGS,Las Vegas,finalized,yes,1.0,2025-08-07 04:34:15.850238+00:00,2025-08-07 04:29:15.482183+00:00,Las Vegas
KXWNBAGAME-25AUG07ATLCHI-ATL,KXWNBAGAME-25AUG07ATLCHI,Atlanta,finalized,yes,1.0,2025-08-08 02:13:46.670713+00:00,2025-08-08 02:08:46.719676+00:00,Atlanta
